NAME,Employee,Direct,Medicare,Medicaid,VA,state,county,noins
"Morris County, Kansas",348,594,1255,73,132,20,127,20.0
"Rooks County, Kansas",174,566,1048,106,79,20,163,7.0
"Clark County, Kansas",69,208,410,43,26,20,25,16.0
"Harper County, Kansas",145,678,1124,116,39,20,77,0.0
"Lyon County, Kansas",906,2400,4537,505,221,20,111,0.0
"Pawnee County, Kansas",230,706,1282,47,62,20,145,47.0
"Comanche County, Kansas",54,252,383,13,6,20,33,0.0
"Gove County, Kansas",96,378,659,65,29,20,63,0.0
"Harvey County, Kansas",1273,2912,6018,446,276,20,79,2.0
"Kearny County, Kansas",70,242,518,69,0,20,93,0.0
"McPherson County, Kansas",1001,2507,4873,363,78,20,113,0.0
"Desha County, Arkansas",428,689,2068,331,76,5,41,19.0
"Fulton County, Arkansas",653,924,2989,529,242,5,49,4.0
"Howard County, Arkansas",539,866,2174,224,59,5,61,0.0
"Garland County, Arkansas",5942,9340,22034,2541,2584,5,51,0.0
"Mississippi County, Arkansas",1174,1481,5670,1552,445,5,93,153.0
"Pope County, Arkansas",2314,3510,9357,1050,1095,5,115,29.0
"Prairie County, Arkansas",175,484,1806,488,97,5,117,0.0
"Union County, Arkansas",1436,2321,6516,849,347,5,139,0.0
"Woodruff County, Arkansas",165,367,1360,381,110,5,147,0.0
"Cleburne County, Arkansas",1327,3094,6404,608,546,5,23,3.0
"Cleveland County, Arkansas",303,476,1581,276,146,5,25,17.0
"Jackson County, Arkansas",337,806,2758,555,300,5,67,0.0
"Hempstead County, Arkansas",827,1351,3634,495,149,5,57,13.0
"Sharp County, Arkansas",1011,1595,4309,639,396,5,135,105.0
"Stone County, Arkansas",657,1269,3277,609,187,5,137,0.0
"Washington County, Arkansas",7378,9075,24644,2849,2140,5,143,0.0
"Baxter County, Arkansas",2777,4681,12371,968,1446,5,5,208.0
"Ashley County, Arkansas",535,1474,3928,722,257,5,3,25.0
"Craighead County, Arkansas",2934,5939,13700,2060,896,5,31,0.0
"Greene County, Arkansas",1421,2406,6800,1033,863,5,55,29.0
"Perry County, Arkansas",377,813,1931,361,47,5,105,8.0
"Poinsett County, Arkansas",663,1294,4011,707,213,5,111,0.0
"Sevier County, Arkansas",640,813,2169,203,197,5,133,0.0
"Calhoun County, Arkansas",269,300,1051,203,31,5,13,42.0
"Clark County, Arkansas",826,1242,3355,447,308,5,19,7.0
"Lawrence County, Arkansas",550,958,2961,472,207,5,75,0.0
"Monroe County, Arkansas",302,450,1534,468,63,5,95,0.0
"Conway County, Arkansas",654,1268,3860,636,313,5,29,0.0
"Newton County, Arkansas",273,629,1894,349,85,5,101,0.0
"Arkansas County, Arkansas",527,1039,3256,572,110,5,1,10.0
"Lonoke County, Arkansas",2293,3284,9055,1289,2108,5,85,0.0
"Carroll County, Arkansas",1603,2538,6068,728,520,5,15,7.0
"St. Francis County, Arkansas",660,1179,3827,1047,86,5,123,30.0
"Pulaski County, Arkansas",18416,17959,55145,6707,7835,5,119,24.0
"Merced County, California",6033,8692,28397,8308,2977,6,47,349.0
"Mariposa County, California",1686,1453,4614,479,280,6,43,477.0
"Modoc County, California",591,620,2270,331,67,6,49,13.0
"Contra Costa County, California",73700,50476,162781,22465,5035,6,13,47.0
"Inyo County, California",1558,1221,3966,652,233,6,27,1477.0
"Stanislaus County, California",17176,20388,66005,14915,2269,6,99,2.0
"Santa Barbara County, California",20630,24339,62316,8521,3917,6,83,356.0
"Tehama County, California",3448,4341,11940,1943,926,6,103,569.0
"Mono County, California",671,631,1835,171,45,6,51,51.0
"San Benito County, California",2422,2452,7047,1300,235,6,69,112.0
"Bryan County, Georgia",897,1036,3763,320,575,13,29,76.0
"Butts County, Georgia",1351,1157,3333,600,137,13,35,0.0
"Camden County, Georgia",2145,2081,6541,780,1219,13,39,46.0
"Crawford County, Georgia",754,562,2132,462,206,13,79,13.0
"Early County, Georgia",377,397,1862,394,91,13,99,10.0
"Coffee County, Georgia",1262,1497,5688,1294,299,13,69,0.0
"Coweta County, Georgia",6415,5743,18379,2098,1557,13,77,31.0
"Gilmer County, Georgia",2019,2446,7069,810,565,13,123,121.0
"Walton County, Georgia",4663,3862,13144,1637,789,13,297,84.0
"Wilkes County, Georgia",523,690,2137,359,66,13,317,87.0
"Dodge County, Georgia",1457,867,3286,912,45,13,91,3.0
"Gordon County, Georgia",2279,2203,7831,1018,437,13,129,3.0
"Cherokee County, Georgia",10176,10303,31860,2814,1967,13,57,139.0
"Fayette County, Georgia",9125,5793,19045,1576,2828,13,113,446.0
"Lee County, Georgia",1296,1077,3523,472,499,13,177,49.0
"Pickens County, Georgia",1851,2325,6569,502,671,13,227,42.0
"Greene County, Georgia",1457,1575,4751,716,347,13,133,10.0
"Cook County, Georgia",634,503,2421,579,309,13,75,0.0
"Dawson County, Georgia",1134,2331,4779,433,243,13,85,0.0
"Fulton County, Georgia",42100,29785,109052,19155,3797,13,121,13.0
"Hawaii County, Hawaii",16529,11345,37791,4769,2309,15,1,990.0
"Honolulu County, Hawaii",93611,40989,158146,20123,17818,15,3,202.0
"Kauai County, Hawaii",6936,2539,12771,1289,728,15,7,555.0
"Kalawao County, Hawaii",0,2,6,1,0,15,5,71.0
"Cassia County, Idaho",668,1710,3120,319,139,16,31,0.0
"Lincoln County, Idaho",64,197,625,77,14,16,63,2.0
"Valley County, Idaho",680,1214,2920,393,286,16,85,15.0
"Franklin County, Idaho",532,679,1813,159,177,16,41,0.0
"Nez Perce County, Idaho",2003,3501,7389,746,331,16,69,5.0
"Kootenai County, Idaho",7378,12152,27990,2507,2726,16,55,16.0
"Minidoka County, Idaho",835,1530,3138,271,122,16,67,52.0
"Twin Falls County, Idaho",2468,5639,12360,1706,987,16,83,74.0
"Blaine County, Idaho",557,964,3654,145,74,16,13,11.0
"Boise County, Idaho",428,833,1815,195,149,16,15,0.0
"Butte County, Idaho",78,157,488,31,26,16,23,8.0
"Gooding County, Idaho",393,894,2452,335,157,16,47,9.0
"Ada County, Idaho",17739,25595,60327,6887,6613,16,1,0.0
"Bear Lake County, Idaho",387,546,1154,99,50,16,7,335.0
"Bingham County, Idaho",1219,2687,6099,659,328,16,11,5.0
"Camas County, Idaho",13,29,188,32,3,16,25,22.0
"Clearwater County, Idaho",485,994,2235,207,176,16,35,9.0
"Jefferson County, Idaho",751,1105,3061,251,225,16,51,0.0
"Lane County, Oregon",16997,26500,67631,7834,3667,41,39,10.0
"Surry County, Virginia",422,526,1407,185,228,51,181,330.0
"Clarke County, Virginia",948,988,2824,100,148,51,43,0.0
"Mecklenburg County, Virginia",1999,2770,7238,844,513,51,117,0.0
"Augusta County, Virginia",3633,7276,14770,901,1096,51,15,54.0
"Goochland County, Virginia",1805,1999,4580,196,369,51,75,50.0
"Madison County, Virginia",939,907,2658,236,141,51,113,40.0
"Roanoke County, Virginia",6427,7329,18644,877,999,51,161,12.0
"Brunswick County, Virginia",709,1291,3285,729,300,51,25,153.0
"Northampton County, Virginia",729,1317,2965,338,198,51,131,0.0
"Rockbridge County, Virginia",1731,2224,5538,297,245,51,163,0.0
"Norton city, Virginia",150,212,612,132,68,51,720,42.0
"Colonial Heights city, Virginia",1584,1252,3400,187,717,51,570,0.0
"Bland County, Virginia",282,485,1312,226,66,51,21,13.0
"Botetourt County, Virginia",2171,2843,7054,240,412,51,23,0.0
"Bristol city, Virginia",673,1396,3407,518,366,51,520,0.0
"Williamsburg city, Virginia",1072,1022,2189,141,287,51,830,12.0
"Carroll County, Virginia",1255,2745,6933,929,432,51,35,0.0
"Sacramento County, California",90103,46234,195976,41152,14048,6,67,0.0
"El Dorado County, California",15770,12996,37201,3753,2099,6,17,1370.0
"Monterey County, California",16177,15052,52933,10546,4818,6,53,96.0
"San Francisco County, California",44106,27877,123917,38407,2214,6,75,593.0
"San Diego County, California",129520,100515,421539,78757,48841,6,73,866.0
"Tulare County, California",10768,12536,48432,12798,1278,6,107,5452.0
"Humboldt County, California",6387,8247,22831,3241,760,6,23,565.0
"Alpine County, California",76,91,300,32,12,6,3,39.0
"Madera County, California",6073,6052,20166,3802,665,6,39,0.0
"Santa Cruz County, California",15934,13964,40738,5994,1296,6,87,187.0
"Trinity County, California",708,1077,3344,470,116,6,105,169.0
