NAME,<15,15-24,25-34,35-64,65-74,>75
"Alger County, Michigan",1128,1031,1009,3726,1344,913
"Oceana County, Michigan",4974,3357,2582,10121,3209,2173
"Clare County, Michigan",5000,3194,3224,12112,4244,2877
"Isabella County, Michigan",10181,21737,8690,21474,5039,3567
"Tuscola County, Michigan",8833,6164,5832,21604,6033,4473
"Alpena County, Michigan",4326,3039,2971,11696,3578,2910
"Midland County, Michigan",14696,10285,10257,33126,8160,6831
"Oscoda County, Michigan",1314,797,719,3191,1302,925
"Clinton County, Michigan",14381,10125,9154,31832,7727,5170
"Gratiot County, Michigan",6614,6062,5347,15856,3844,3193
"Lenawee County, Michigan",16958,13024,11266,39083,10847,7203
"Montcalm County, Michigan",11724,7575,7747,25544,6327,4496
"St. Clair County, Michigan",27025,19410,17416,66360,17254,11782
"Washtenaw County, Michigan",56642,81090,52402,127558,29997,19311
"Cass County, Michigan",8739,6009,5212,21108,6536,3919
"Roscommon County, Michigan",2921,2017,1841,9455,4537,3080
"Branch County, Michigan",8306,4893,5301,17113,4652,3248
"Jackson County, Michigan",28233,20227,19753,63144,16016,11263
"Macomb County, Michigan",150731,106098,114772,354334,82316,62074
"Baraga County, Michigan",1207,972,1032,3383,1070,757
"Eaton County, Michigan",18773,13918,13825,43340,11922,7678
"Upson County, Georgia",5065,3242,2845,10365,2780,1939
"Washington County, Georgia",3621,2543,2590,8065,2135,1482
"White County, Georgia",4575,3948,3022,11439,3854,2651
"Peach County, Georgia",4768,4707,3321,10139,2558,1652
"Paulding County, Georgia",34785,21647,20558,66156,10696,5983
"Pierce County, Georgia",4025,2263,2140,7594,1915,1313
"Pike County, Georgia",3435,2414,2258,7383,1642,1195
"Richmond County, Georgia",39180,30658,32986,71628,16618,10782
"Screven County, Georgia",2468,1799,1578,5590,1580,974
"Tattnall County, Georgia",4335,3167,4268,10092,2087,1433
"Berrien County, Georgia",3834,2125,2409,7420,2076,1288
"Montgomery County, Illinois",4777,3098,3594,11704,2925,2730
"Whiteside County, Illinois",10236,6492,6093,21824,6203,5168
"Adams County, Illinois",12597,7363,8060,24879,6853,6333
"Clinton County, Illinois",6548,4366,4908,15551,3408,2853
"DeKalb County, Illinois",18646,24324,13967,34747,7365,5317
"Edwards County, Illinois",1204,735,651,2515,742,608
"Jasper County, Illinois",1852,1025,1020,3870,1005,822
"Jefferson County, Illinois",7015,4498,4647,14751,4055,3019
"Vermilion County, Illinois",15314,9424,9169,29126,8195,6335
"Will County, Illinois",140719,96931,80690,284061,53074,33840
"Williamson County, Illinois",12319,7198,8766,26314,7264,5241
"Clark County, Illinois",2946,1829,1755,6145,1643,1398
"Douglas County, Illinois",4044,2466,2447,7221,1815,1630
"Effingham County, Illinois",6761,3997,4524,13004,3167,2684
"Fulton County, Illinois",5656,3993,4251,14147,3839,3206
"Greene County, Illinois",2224,1572,1514,5320,1353,1149
"Hamilton County, Illinois",1483,903,861,3170,930,829
"Hardin County, Illinois",513,435,365,1650,613,363
"Henry County, Illinois",8900,5793,5244,19324,5581,4425
"Johnson County, Illinois",1835,1451,1632,4961,1517,1098
"Knox County, Illinois",8320,7016,5462,19182,5858,4670
"Livingston County, Illinois",6294,4312,4358,14258,3653,3165
"Scott County, Illinois",888,565,498,2058,512,484
"Tazewell County, Illinois",25210,14697,16271,52641,13509,10867
"Warren County, Illinois",3059,2880,1733,6288,1749,1437
"Harrison County, Indiana",7417,4526,4560,16559,4176,2702
"LaPorte County, Indiana",19619,13313,14351,43772,11482,7617
"Wabash County, Indiana",5218,4528,3330,11912,3398,3003
"Jasper County, Indiana",6330,4585,3697,13052,3449,2334
"Martin County, Indiana",1856,1236,1117,4052,1123,828
"Porter County, Indiana",30311,22679,20523,68231,16305,10587
"Ripley County, Indiana",5469,3678,3093,11226,2809,2116
"Spencer County, Indiana",3700,2353,2201,8253,2324,1616
"Tipton County, Indiana",2510,1824,1567,6186,1756,1319
"Vigo County, Indiana",18296,19934,13826,38250,9802,7351
"Warrick County, Indiana",12105,7293,6795,25493,6293,4301
"DeKalb County, Indiana",8692,5286,5269,16902,4028,2750
"LaGrange County, Indiana",10675,5887,4562,12810,3101,2158
"Rush County, Indiana",3000,2125,1767,6775,1636,1338
"Boone County, Indiana",14399,7838,7665,27180,5049,3413
"Gogebic County, Michigan",1942,1584,1612,6071,2167,1685
"Meeker County, Minnesota",4635,2703,2275,9006,2472,2014
"Rice County, Minnesota",12082,12250,7451,24376,5763,4263
"Red Lake County, Minnesota",811,402,386,1614,424,378
"Clay County, Minnesota",13098,11781,9059,21314,4283,3911
"Fillmore County, Minnesota",4314,2200,2181,7955,2243,2056
"Polk County, Minnesota",6403,3923,3943,11578,3030,2644
"Sibley County, Minnesota",2895,1683,1649,5973,1396,1296
"Watonwan County, Minnesota",2262,1288,1300,3933,1022,1167
"Big Stone County, Minnesota",866,484,502,1863,587,694
"Cass County, Minnesota",5189,2746,2709,11218,4458,2948
"Hubbard County, Minnesota",3727,1982,1876,8211,3118,2105
"Martin County, Minnesota",3628,2169,2203,7297,2268,2287
"Nobles County, Minnesota",5073,2675,2872,7626,1794,1694
"Sherburne County, Minnesota",20705,12126,12768,38603,6437,3824
"Carver County, Minnesota",22549,13102,11035,43635,6882,4746
"McLeod County, Minnesota",6829,4269,4281,13908,3477,3068
"Ramsey County, Minnesota",107483,73821,90568,195832,44300,32438
"Winona County, Minnesota",7509,11824,5926,17135,4693,3638
"Dodge County, Minnesota",4464,2599,2359,8266,1670,1311
"Crow Wing County, Minnesota",11604,6721,7113,24646,8077,6056
"Wright County, Minnesota",31400,16238,15976,54463,9791,6570
"Lincoln County, Minnesota",1117,571,547,2044,623,775
"Mille Lacs County, Minnesota",5086,2971,3033,10104,2604,2067
"Carlton County, Minnesota",6618,4054,4252,14652,3393,2664
"Kanabec County, Minnesota",2841,1793,1583,6621,1931,1320
"St. Clair County, Alabama",16618,9947,11390,35717,8751,5566
"Cullman County, Alabama",15445,9682,10328,32282,8961,6155
"Houston County, Alabama",20008,12495,13645,40502,10556,7496
"Tuscaloosa County, Alabama",36373,41876,30577,71806,16210,10463
"Coffee County, Alabama",10147,6222,6609,20134,4976,3574
"Chilton County, Alabama",8641,5368,5782,17212,4152,2900
"Coosa County, Alabama",1469,1029,1089,4740,1373,1057
"Etowah County, Alabama",18144,12572,12248,40527,11391,7866
"Lamar County, Alabama",2506,1542,1456,5398,1618,1365
"Butler County, Alabama",3644,2365,2339,7580,2288,1612
"Walker County, Alabama",11727,7601,7572,25019,7200,4991
"Greene County, Alabama",1554,977,1002,3018,988,785
"Bullock County, Alabama",1734,1413,1271,4190,1020,620
"Chambers County, Alabama",5864,4007,4128,13191,3958,2512
"Haines Borough, Alaska",581,87,260,957,530,103
"Juneau City and Borough, Alaska",5735,3931,4917,13605,2846,1193
"Yukon-Koyukuk Census Area, Alaska",1254,681,732,1940,533,237
"Denali Borough, Alaska",205,414,287,1131,145,64
"Hoonah-Angoon Census Area, Alaska",288,140,241,1031,323,116
"Wrangell City and Borough, Alaska",361,216,301,1055,291,278
"Pima County, Arizona",179728,159675,130050,360393,112285,85076
"Gila County, Arizona",8953,5263,5255,18876,8907,6292
"Cochise County, Arizona",22818,15410,15749,44612,15678,11600
"Apache County, Arizona",16047,10515,9222,25033,6477,4217
"Yuma County, Arizona",44523,32429,29098,64718,19439,19261
"Navajo County, Arizona",24474,14271,13192,38271,11591,7471
"Clay County, Arkansas",2656,1708,1635,5749,1722,1419
"Drew County, Arkansas",3337,3419,2146,6388,1717,1410
"Randolph County, Arkansas",3360,2103,2170,6537,1912,1613
"Boone County, Arkansas",7180,4168,4470,13922,4295,3296
"Lincoln County, Arkansas",1702,1439,2387,5897,1231,799
"Crittenden County, Arkansas",11004,6701,6411,17937,3923,2696
"Faulkner County, Arkansas",23824,23931,17547,43264,9168,5890
"Walker County, Georgia",12288,8205,8241,27666,7239,5400
"Gwinnett County, Georgia",203670,128327,121361,373578,57589,30521
"Barrow County, Georgia",17309,9763,11625,30549,6302,3443
"Charlton County, Georgia",2168,1727,1719,5486,1096,844
"Clinch County, Georgia",1465,790,724,2668,613,426
"Bartow County, Georgia",21114,13560,13793,42089,9061,5302
"Douglas County, Georgia",30468,20248,18004,58278,10516,5802
"Grady County, Georgia",5108,2787,3094,9433,2607,1799
"Hancock County, Georgia",976,949,1346,3340,1154,750
"Whitfield County, Georgia",22578,14503,14048,38815,8376,5917
"Macon County, Georgia",2016,1762,1996,5330,1420,781
"Troup County, Georgia",14388,9811,9433,26169,6128,3990
"Harris County, Georgia",5970,4223,3442,14307,4043,2120
"Schley County, Georgia",1004,825,594,1961,507,330
"Worth County, Georgia",3823,2448,2592,7787,2316,1528
"Dooly County, Georgia",1940,1877,1313,5964,1597,1045
"Evans County, Georgia",2392,1088,1598,3853,996,760
"Webster County, Georgia",509,225,268,1085,315,208
"Effingham County, Georgia",13280,7764,8310,24220,4466,2437
"Glascock County, Georgia",536,419,293,1254,279,215
"Quitman County, Georgia",386,148,373,812,325,245
"Chatham County, Georgia",52389,41775,47707,103575,25824,17226
"Johnson County, Georgia",1514,1208,1042,4171,1095,661
"Lanier County, Georgia",2178,1352,1592,3824,806,628
"Madison County, Georgia",5660,3411,3452,11830,3021,1844
"Mitchell County, Georgia",4241,2764,2933,8727,2067,1512
"Tift County, Georgia",8432,6319,5085,14846,3445,2414
"Polk County, Georgia",9015,5394,5430,15616,3862,2591
"Talbot County, Georgia",885,735,540,2678,906,577
"Terrell County, Georgia",1679,1063,1068,3288,956,683
"Thomas County, Georgia",8804,5434,5473,17067,4602,3250
"Wilkinson County, Georgia",1711,1052,928,3631,957,731
"Oglethorpe County, Georgia",2833,1610,1607,6063,1603,1215
"Randolph County, Georgia",1509,778,639,2544,671,832
"Ware County, Georgia",6902,4213,4931,13533,3427,2587
"Wayne County, Georgia",6178,3584,3715,11654,2913,1744
"Wilcox County, Georgia",1433,1025,1243,3655,832,636
"Baldwin County, Georgia",7062,9879,5273,15938,4239,2720
"Bulloch County, Georgia",12732,20831,10573,23505,5228,3251
"Clay County, Georgia",451,303,311,1124,407,355
"Echols County, Georgia",677,514,509,1640,334,307
"DeKalb County, Georgia",148434,91198,125500,294684,56142,33365
"Haralson County, Georgia",5876,3436,3771,11536,2738,1870
"Jefferson County, Georgia",3021,1952,1872,5967,1718,1088
"Lincoln County, Georgia",1319,773,750,3188,1099,727
"Murray County, Georgia",8166,5085,5048,15705,3636,2084
"Pulaski County, Georgia",1485,1382,1892,4228,1251,978
"Rabun County, Georgia",2232,1718,1709,6415,2701,1870
"Towns County, Georgia",1155,1978,882,3606,2183,1813
"Treutlen County, Georgia",1221,866,798,2502,820,588
"Irwin County, Georgia",1657,1425,963,3534,967,774
"Appling County, Georgia",3754,2398,2136,7045,1879,1228
"Shelby County, Ohio",10043,6354,5544,19009,4575,3224
"Williams County, Ohio",6823,4372,4384,14438,3687,3112
"Columbiana County, Ohio",17337,11578,11423,42385,11689,8778
"Fulton County, Ohio",8207,5348,4610,16791,4208,3089
"Gallia County, Ohio",5766,3647,3598,11511,3097,2469
"Mahoning County, Ohio",37808,28416,26811,89984,25654,21288
"Scioto County, Ohio",13607,9596,9900,29411,7564,5962
"Morrow County, Ohio",6473,4383,3685,14693,3415,2394
"Marion County, Arkansas",2470,1406,1446,6523,2799,1832
"Searcy County, Arkansas",1290,825,795,2997,1126,875
"Benton County, Arkansas",58845,33007,39328,99308,20608,14663
"Hot Spring County, Arkansas",5686,3618,4711,13294,3865,2423
"Madison County, Arkansas",3087,1945,1771,6347,1855,1206
"Dolores County, Colorado",384,75,205,680,300,213
"Jackson County, Colorado",135,152,116,501,210,147
"Montezuma County, Colorado",4667,2752,2744,10263,3467,2138
"Boulder County, Colorado",50971,58784,44811,123850,27241,16853
"Yuma County, Colorado",2270,1087,1329,3492,975,850
"Routt County, Colorado",3629,2903,3824,11052,2563,1101
"Clear Creek County, Colorado",1144,975,990,4540,1338,508
"Pueblo County, Colorado",30946,21571,21420,61847,17395,12803
"Park County, Colorado",2280,1438,1796,8787,2677,889
"Mesa County, Colorado",27512,19532,20039,56056,16305,11774
"El Paso County, Colorado",141691,105168,110682,254322,53653,33458
"Arapahoe County, Colorado",127519,79154,100383,255393,51014,31097
"New Castle County, Delaware",99526,73313,80574,218484,49170,35098
"Kent County, Delaware",33916,24729,23877,64760,17324,12093
"Litchfield County, Connecticut",26646,20737,18550,78612,21823,15634
"Palm Beach County, Florida",231840,161193,174466,551484,168626,177418
"Miami-Dade County, Florida",459619,325715,385096,1098092,229753,201153
"Franklin County, Florida",1611,1077,1689,4753,1664,1017
"Hamilton County, Florida",2242,1696,2258,5699,1539,892
"Sumter County, Florida",7451,5382,6820,34473,42220,28698
"Holmes County, Florida",3121,2231,2548,7682,2160,1690
"Lee County, Florida",108555,74067,80451,267226,114068,93101
"Collier County, Florida",53102,36231,35543,129380,58669,58528
"Pasco County, Florida",87787,56086,58048,204479,65185,53017
"Highlands County, Florida",14798,9611,9821,32798,17512,18897
"DeSoto County, Florida",5882,4587,5259,13173,4423,3579
"Columbia County, Florida",12642,8871,8896,26768,7478,5313
"Putnam County, Florida",13046,7929,8053,27590,9729,6905
"Union County, Florida",2446,1639,2458,6470,1540,750
"Levy County, Florida",6586,4202,4311,15570,5811,3923
"Volusia County, Florida",78346,60812,62125,205641,72297,57266
"Madison County, Florida",2867,1998,2640,7239,2246,1470
"Escambia County, Florida",55155,47286,45668,113473,30458,21451
"Okaloosa County, Florida",38304,25412,32580,75453,18693,13352
"Lumpkin County, Georgia",4847,7138,3608,11350,3433,2026
"Miller County, Georgia",1065,613,757,2100,634,618
"Oconee County, Georgia",8183,4994,3537,15704,3577,2137
"Henry County, Georgia",46694,33097,27041,92948,16538,9038
"Long County, Georgia",4471,2507,3015,7007,1079,613
"Stephens County, Georgia",4668,3655,3003,9343,3242,1839
"Jeff Davis County, Georgia",3377,1924,1966,5495,1436,838
"Calhoun County, Georgia",897,758,1003,2749,555,403
"Bibb County, Georgia",31454,21815,20801,55894,13619,9617
"Marion County, Georgia",1462,918,849,3461,1048,694
"Bleckley County, Georgia",2211,2745,1317,4273,1282,979
"Franklin County, Georgia",4124,3137,2631,8486,2636,1752
"Lamar County, Georgia",3145,3383,2117,6900,1953,1174
"Emanuel County, Georgia",4737,2915,3050,8286,2127,1418
"Jasper County, Georgia",2737,1535,1531,5672,1476,965
"Liberty County, Georgia",15125,10722,11948,18172,3534,1848
"Seminole County, Georgia",1439,886,930,3166,1129,771
"Twiggs County, Georgia",1340,714,1129,3244,1011,791
"Taylor County, Georgia",1340,1117,713,3365,927,654
"Toombs County, Georgia",5982,3443,3446,9744,2455,1902
"Preble County, Ohio",7512,4779,4546,16563,4558,3135
"Allen County, Ohio",19677,14353,12690,38708,10025,7722
"Crawford County, Ohio",7518,4851,4577,16339,4696,3840
"Guernsey County, Ohio",7102,4665,4689,15202,4329,3124
"Mercer County, Ohio",8783,5096,4576,15355,3921,3153
"Clark County, Ohio",24996,17598,15546,50951,14604,11031
"Lorain County, Ohio",55774,39383,34272,123572,31716,22953
"Montgomery County, Ohio",97672,69445,71706,199123,52410,41314
"Warren County, Ohio",46280,28613,26145,96059,19063,12972
"Ashtabula County, Ohio",17752,11470,11345,39131,10557,7575
"Kay County, Oklahoma",9260,5641,5379,15752,4578,3792
"Craig County, Oklahoma",2626,1669,1786,5490,1540,1279
"Canadian County, Oklahoma",30661,16828,20675,54166,11174,6951
"Latimer County, Oklahoma",1815,1494,1141,3711,1126,1061
"Texas County, Oklahoma",5025,3138,2994,7368,1378,902
"Pushmataha County, Oklahoma",2057,1202,1216,4140,1416,1097
"Johnston County, Oklahoma",2193,1420,1248,4088,1204,911
"Beaver County, Oklahoma",1151,672,573,1975,578,428
"Hughes County, Oklahoma",2404,1678,1848,4927,1379,1136
"Comanche County, Oklahoma",24456,19977,20202,42217,8443,6467
"Adair County, Oklahoma",5013,2890,2648,8281,2038,1350
"Stephens County, Oklahoma",8334,5091,5148,16708,4637,3729
"Carter County, Oklahoma",10071,6008,6172,18139,4498,3431
"Greer County, Oklahoma",995,659,954,2228,501,524
"McIntosh County, Oklahoma",3225,2066,1980,7489,2808,2157
"Murray County, Oklahoma",2670,1584,1622,5396,1552,1122
"Ottawa County, Oklahoma",6526,4429,3672,11165,3195,2467
"Wagoner County, Oklahoma",15934,9436,9926,31010,7782,4870
"Caddo County, Oklahoma",6098,3554,3702,11120,2686,2082
"Muskogee County, Oklahoma",14046,9055,8805,25533,6479,4818
"Bryan County, Oklahoma",9079,6313,6529,16332,4771,3433
"Jackson County, Oregon",37386,24159,27246,81128,27728,18927
"Grant County, Oregon",1040,617,670,2763,1164,935
"Clackamas County, Oregon",72698,47544,50224,167872,44224,27901
"Tillamook County, Oregon",4298,2352,2883,10296,4062,2498
"Josephine County, Oregon",13946,8503,8904,32753,12952,9193
"Umatilla County, Oregon",16319,10266,10650,28074,6940,4880
"Columbia County, Oregon",8853,5766,5865,21497,5824,3570
"Wasco County, Oregon",4952,2879,3269,9757,3127,2146
"Montgomery County, Georgia",1458,1565,1043,3490,934,568
"Rockdale County, Georgia",18084,12593,10265,36198,8104,4473
"Wheeler County, Georgia",1014,1490,1239,3068,708,409
"Banks County, Georgia",3456,2294,2195,7684,1944,1135
"Clarke County, Georgia",18842,36420,20963,36600,8050,5301
"Glynn County, Georgia",15470,9868,10199,32321,10009,6603
"Jackson County, Georgia",14291,7737,8905,27173,6036,3743
"Jones County, Georgia",5417,3519,3175,11501,2966,2001
"Muscogee County, Georgia",40996,27602,31621,70075,14809,10636
"Stewart County, Georgia",551,852,1710,2243,540,397
"Turner County, Georgia",1613,767,926,3090,1016,531
"Atkinson County, Georgia",1843,1196,987,3096,718,399
"Baker County, Georgia",493,390,304,1202,427,316
"Candler County, Georgia",2343,1272,1304,4003,1175,715
"Carroll County, Georgia",22983,20069,15782,42699,9583,6067
"Crisp County, Georgia",4515,3057,2565,8439,2403,1734
"Cobb County, Georgia",148366,99063,109487,305262,56878,32162
"Dade County, Georgia",2568,2518,1732,6311,1874,1194
"Brooks County, Georgia",2909,1616,2013,6108,1731,1213
"Elbert County, Georgia",3496,2297,2189,7300,2185,1699
"Jenkins County, Georgia",1760,1186,666,3614,1186,381
"Newton County, Georgia",23098,15713,13282,42299,8704,4983
"Colquitt County, Georgia",9968,6030,5758,16793,4035,2902
"Clayton County, Georgia",66629,41095,44023,106221,17455,8115
"Hall County, Georgia",41899,27080,25818,74958,17203,11709
"Maui County, Hawaii",30352,17510,20959,68063,17976,11119
"Oneida County, Idaho",1092,557,345,1550,463,378
"Gem County, Idaho",3266,2103,1736,6548,2142,1536
"Adams County, Idaho",574,314,361,1639,765,444
"Jerome County, Idaho",6240,3079,3216,8205,1867,1123
"Lewis County, Idaho",722,400,333,1436,534,413
"Owyhee County, Idaho",2466,1545,1247,4220,1227,847
"Boundary County, Idaho",2264,1425,1066,4571,1589,930
"Caribou County, Idaho",1657,892,718,2528,653,505
"Bannock County, Idaho",18786,12713,12889,29560,7196,4621
"Bonneville County, Idaho",29737,15382,15716,38622,8871,6064
"Canyon County, Idaho",52355,31388,28865,75796,18023,11206
"Latah County, Idaho",6184,11004,5482,11686,3176,1973
"Sangamon County, Illinois",36331,23958,25008,77618,19807,14139
"Randolph County, Illinois",5080,3760,4314,13170,3236,2735
"Ogle County, Illinois",9347,6109,5718,20575,5247,4029
"Morgan County, Illinois",5432,5021,4240,12851,3681,3022
"White County, Illinois",2464,1471,1593,5347,1561,1432
"Henderson County, Illinois",1024,709,640,2748,906,782
"McLean County, Illinois",31063,36684,22416,60466,12832,9117
"Perry County, Illinois",3330,2512,2787,8698,2221,1703
"Rock Island County, Illinois",26848,17894,17825,54256,15043,12007
"Wabash County, Illinois",2173,1199,1330,4508,1235,1101
"Cumberland County, Illinois",2088,1133,1258,4263,1176,918
"Jo Daviess County, Illinois",3317,2140,1918,8340,3418,2455
"Lawrence County, Illinois",2421,1756,2317,6534,1631,1374
"Marshall County, Illinois",1945,1330,1169,4574,1425,1236
"Christian County, Illinois",5559,3697,3892,13409,3357,3017
"Jackson County, Illinois",8728,14207,8151,18294,4954,3643
"Peoria County, Illinois",36513,23357,25226,67605,17145,12924
"Piatt County, Illinois",3035,1782,1802,6648,1774,1360
"Stark County, Illinois",931,637,550,2137,640,552
"Bond County, Illinois",2568,2280,1986,6724,1678,1353
"Carroll County, Illinois",2297,1506,1474,5591,2041,1557
"Jersey County, Illinois",3659,3019,2361,8713,2322,1863
"Howard County, Maryland",63494,40061,38792,133753,26373,16382
"Prince George's County, Maryland",171105,121291,133571,365881,73503,43319
"Anne Arundel County, Maryland",106721,70970,80951,230352,49616,32665
"Baltimore County, Maryland",148697,104021,114114,321930,77330,61926
"Frederick County, Maryland",48010,32502,31512,103930,20991,14477
"Calvert County, Maryland",17038,11927,10206,39088,7975,5277
"Garrett County, Maryland",4423,3340,3167,11869,3729,2707
"Kent County, Maryland",2545,3058,1940,6873,2821,2299
"Montgomery County, Maryland",202001,123629,133553,427522,89196,67629
"Bethel Census Area, Alaska",5391,2942,2852,5648,884,417
"North Slope Borough, Alaska",2172,1115,1584,4250,491,180
"Sitka City and Borough, Alaska",1553,941,1232,3604,781,529
"Fairbanks North Star Borough, Alaska",20650,16576,18396,33751,6811,2888
"Ketchikan Gateway Borough, Alaska",2491,1667,1874,5718,1363,687
"Matanuska-Susitna Borough, Alaska",23670,13513,15094,41153,8213,3726
"Nome Census Area, Alaska",2941,1527,1526,3292,493,209
"Dillingham Census Area, Alaska",1306,760,733,1663,333,166
"Yakutat City and Borough, Alaska",136,71,100,248,56,38
"Lake and Peninsula Borough, Alaska",266,209,225,584,62,47
"Southeast Fairbanks Census Area, Alaska",1586,774,960,2620,644,294
"Anchorage Municipality, Alaska",60434,41227,51245,109752,20568,10305
"Aleutians East Borough, Alaska",392,377,507,1791,208,110
"Valdez-Cordova Census Area, Alaska",1847,916,1548,3798,892,242
"Kenai Peninsula Borough, Alaska",10977,6836,7305,23715,6600,3031
"Skagway Municipality, Alaska",128,112,214,523,90,40
"Prince of Wales-Hyder Census Area, Alaska",1264,686,776,2654,734,293
"Petersburg Borough, Alaska",542,520,331,1147,466,251
"Kusilvak Census Area, Alaska",2866,1374,1285,2271,312,142
"Maricopa County, Arizona",867789,582206,630096,1606905,373691,268123
"Graham County, Arizona",8515,5775,5684,12820,2983,2219
"Santa Cruz County, Arizona",10420,6758,4994,16271,4672,3365
"La Paz County, Arizona",2851,1889,1732,6296,3864,4161
"Mohave County, Arizona",29921,19383,21182,75826,35172,26211
"Coconino County, Arizona",24235,33959,19468,46629,10888,6095
"Yavapai County, Arizona",30941,21911,20738,84619,41825,28033
"Greenlee County, Arizona",2217,1451,1236,3440,615,563
"Pinal County, Arizona",82838,50602,57251,156128,52433,33541
"Nevada County, Arkansas",1575,931,851,3301,1078,615
"Cross County, Arkansas",3298,2013,1955,6474,1888,1196
"Dallas County, Arkansas",1121,1013,823,2705,937,680
"Columbia County, Arkansas",4145,4970,2519,8077,2186,1879
"Saline County, Arkansas",23035,13680,15259,46528,12381,8532
"Van Buren County, Arkansas",2669,1738,1538,6429,2305,1963
"Izard County, Arkansas",2017,1358,1412,5393,1839,1551
"Independence County, Arkansas",7471,4834,4387,14282,3661,2792
"Logan County, Arkansas",3838,2521,2487,8538,2461,1823
"Grant County, Arkansas",3339,2067,2201,7291,1916,1312
"Franklin County, Arkansas",3450,2271,1908,6712,1896,1501
"Pike County, Arkansas",1928,1303,1167,4189,1228,941
"Jefferson County, Arkansas",12594,9784,9111,26168,6973,4652
"Montgomery County, Arkansas",1324,939,788,3496,1354,1049
"Scott County, Arkansas",2167,1210,1139,3710,1279,871
"Sebastian County, Arkansas",25550,17035,16835,48277,11740,8154
"Crawford County, Arkansas",12698,7785,7897,24083,6005,4271
"Chicot County, Arkansas",1981,1193,1263,4058,1106,1014
"Johnson County, Arkansas",5285,3666,3083,10053,2554,1731
"Lee County, Arkansas",1369,1071,1309,3716,980,749
"Marion County, Iowa",6338,4854,3684,12491,3186,2619
"Washington County, Iowa",4472,2766,2487,8234,2210,1931
"Wright County, Iowa",2546,1342,1320,4725,1369,1437
"Cass County, Iowa",2354,1406,1292,5085,1514,1440
"Cherokee County, Iowa",2011,1150,1189,4327,1287,1379
"Crawford County, Iowa",3489,2433,1938,6274,1514,1386
"Des Moines County, Iowa",7428,4529,4329,15119,4367,3614
"Fayette County, Iowa",3432,2601,2117,7494,2167,1992
"Harrison County, Iowa",2661,1546,1472,5674,1464,1272
"Kossuth County, Iowa",2738,1715,1489,5580,1656,1800
"Mills County, Iowa",2942,1765,1426,6190,1670,1041
"Monona County, Iowa",1469,910,932,3294,1026,1099
"Muscatine County, Iowa",8845,5409,5413,16314,4012,2896
"Osceola County, Iowa",1170,632,590,2391,605,664
"Polk County, Iowa",100860,60720,74600,182210,36530,24692
"Webster County, Iowa",6394,5497,4485,13582,3595,2992
"Story County, Iowa",13543,32586,12853,26522,6359,5078
"Woodbury County, Iowa",22445,14323,13462,37285,8635,6436
"Black Hawk County, Iowa",24217,24458,17231,45349,11805,9333
"Grundy County, Iowa",2339,1332,1336,4773,1283,1236
"Jones County, Iowa",3625,2259,2233,8298,2203,1941
"Mitchell County, Iowa",2019,1325,1038,3920,1071,1235
"Montgomery County, Iowa",1859,1208,950,3936,1097,1003
"Sac County, Iowa",1819,1042,941,3730,1109,1161
"Plymouth County, Iowa",5086,3162,2492,9797,2411,2120
"Buchanan County, Iowa",4700,2413,2374,7862,2135,1634
"Clinton County, Iowa",8857,5402,5144,18449,4895,4162
"Decatur County, Iowa",1452,1687,732,2541,787,780
"Jefferson County, Iowa",2343,2169,2722,6999,2577,1338
"Allamakee County, Iowa",2704,1437,1443,5153,1685,1391
"Linn County, Iowa",43471,29835,30525,85259,19635,15136
"Dallas County, Iowa",20617,9577,12813,33735,6022,4335
"O'Brien County, Iowa",2735,1522,1519,5223,1325,1511
"Stanton County, Kansas",521,256,244,680,147,204
"Meade County, Kansas",851,575,514,1516,359,365
"Montgomery County, Kansas",6490,4087,3787,11899,3409,2849
"Pratt County, Kansas",2049,1301,1046,3271,886,899
"Rawlins County, Kansas",432,224,245,929,340,332
"Anderson County, Kansas",1652,958,731,2837,858,799
"Ellsworth County, Kansas",938,772,826,2411,675,609
"Geary County, Kansas",9390,6359,7113,8396,1627,1140
"Ford County, Kansas",8742,5099,4786,11934,1932,1686
"Russell County, Kansas",1223,684,695,2709,833,804
"Marshall County, Kansas",1942,1028,1004,3694,1024,1057
"Allen County, Kansas",2336,1660,1248,4771,1394,1147
"Cheyenne County, Kansas",459,296,254,951,341,364
"Cowley County, Kansas",6995,5009,4112,12836,3466,2933
"Elk County, Kansas",445,194,204,950,384,346
"Franklin County, Kansas",5080,3365,2936,9972,2528,1677
"Hodgeman County, Kansas",320,246,160,737,213,200
"Jewell County, Kansas",461,224,297,1048,424,431
"Rice County, Kansas",1837,1587,1053,3381,971,829
"Stafford County, Kansas",792,503,450,1555,418,463
"Osage County, Kansas",3008,1881,1541,6346,1742,1363
"Coffey County, Kansas",1424,997,903,3213,990,727
"Crawford County, Kansas",7151,8556,4671,12670,3303,2617
"Greenwood County, Kansas",1072,594,540,2372,827,676
"Carroll County, Maryland",29454,21638,18884,70289,16183,11251
"Queen Anne's County, Maryland",8783,5743,5136,20851,5521,3598
"St. Mary's County, Maryland",22645,15318,15453,44783,8382,5709
"Charles County, Maryland",31292,21332,20406,66986,12067,7345
"Dorchester County, Maryland",5638,3442,3858,12463,3882,2855
"Washington County, Maryland",27019,18011,19668,60172,14129,11110
"Wicomico County, Maryland",18616,19367,12142,36567,9260,6587
"Cecil County, Maryland",19026,12571,12637,42679,9786,5853
