NAME,<15,15-24,25-34,35-64,65-74,>75
"Sharp County, Arkansas",2928,1805,1572,6399,2535,1900
"Stone County, Arkansas",1929,1328,1107,4776,1836,1499
"Washington County, Arkansas",47885,43404,34977,79562,15851,10610
"Baxter County, Arkansas",5878,3774,3919,15077,6798,5981
"Ashley County, Arkansas",3986,2482,1935,7831,2389,1647
"Craighead County, Arkansas",22420,15961,16399,38055,8305,6205
"Greene County, Arkansas",9116,5747,5873,17125,4095,2981
"Perry County, Arkansas",1889,1214,1097,4093,1217,845
"Poinsett County, Arkansas",4707,2897,2931,9105,2546,1710
"Sevier County, Arkansas",4088,2307,2068,6246,1423,949
"Calhoun County, Arkansas",774,701,629,1986,584,518
"Clark County, Arkansas",3531,5684,2202,7335,1976,1658
"Lawrence County, Arkansas",3053,2267,1888,6142,1769,1430
"Monroe County, Arkansas",1240,778,652,2771,892,717
"Conway County, Arkansas",3962,2410,2419,8128,2223,1716
"Newton County, Arkansas",1240,846,712,3023,1214,777
"Arkansas County, Arkansas",3463,2028,2070,6948,1968,1437
"Lonoke County, Arkansas",15439,8835,10727,27978,5770,3779
"Carroll County, Arkansas",5013,3100,3000,10545,3930,2377
"St. Francis County, Arkansas",4889,3097,3559,10182,2493,1680
"Pulaski County, Arkansas",76978,49224,58359,149447,35448,23511
"Merced County, California",66973,44021,39448,90984,17412,12544
"Mariposa County, California",2379,1409,1895,6947,2793,1997
"Modoc County, California",1441,726,1033,3306,1378,1023
"Contra Costa County, California",214413,140660,145275,466021,103232,72650
"Inyo County, California",3036,1737,1930,7177,2305,1792
"Stanislaus County, California",122892,76676,78604,195343,40856,28823
"Santa Barbara County, California",83204,86533,59202,149327,36297,30266
"Tehama County, California",12656,7406,7723,23820,7053,5254
"Mono County, California",2053,2330,2115,5763,1370,679
"San Benito County, California",12813,8605,8137,23292,4527,3002
"Bryan County, Georgia",9008,4698,4990,14475,2430,1462
"Butts County, Georgia",4125,2982,3760,9516,2326,1381
"Camden County, Georgia",10929,8673,8498,18369,4373,2389
"Crawford County, Georgia",2123,1496,1272,5215,1452,767
"Early County, Georgia",2137,1349,1068,3801,1123,834
"Coffee County, Georgia",8747,6057,5967,16377,3719,2154
"Coweta County, Georgia",29007,18441,17483,58982,12185,7162
"Gilmer County, Georgia",4800,3316,2799,12164,4637,2698
"Walton County, Georgia",18704,11845,10990,36043,8439,5421
"Wilkes County, Georgia",1670,1246,927,3751,1237,1013
"Dodge County, Georgia",3413,2544,2546,8684,2315,1327
"Gordon County, Georgia",11425,7618,7118,22794,4951,3296
"Cherokee County, Georgia",50361,30874,29715,103306,21850,11409
