NAME,white,black,amindia,asia,pacific,other,2m,state,county
"Nantucket County, Massachusetts",9748,871,32,71,7,95,344,25,019
"Allegan County, Michigan",108625,1569,398,802,12,1774,2963,26,005
"Alger County, Michigan",7773,702,334,13,0,5,324,26,003
"Oceana County, Michigan",24986,293,255,63,5,347,467,26,127
"Clare County, Michigan",29488,190,201,36,0,100,636,26,035
"Isabella County, Michigan",62196,1916,2271,1262,10,563,2470,26,073
"Tuscola County, Michigan",50849,531,167,181,3,138,1070,26,157
"Alpena County, Michigan",27603,165,103,176,37,44,392,26,007
"Midland County, Michigan",77659,1167,358,1916,59,542,1654,26,111
"Oscoda County, Michigan",7981,44,55,12,4,16,136,26,135
"Clinton County, Michigan",73354,1442,128,1183,0,348,1934,26,037
"Gratiot County, Michigan",37227,2346,242,183,30,92,796,26,057
"Lenawee County, Michigan",91576,2471,475,305,20,767,2767,26,091
"Montcalm County, Michigan",60014,1387,332,224,58,233,1165,26,117
"St. Clair County, Michigan",148933,3554,284,1026,57,905,4488,26,147
"Washtenaw County, Michigan",269998,43795,1541,33476,164,2787,15239,26,161
"Cass County, Michigan",45779,2666,555,431,0,535,1557,26,027
"Roscommon County, Michigan",23020,39,174,69,0,31,518,26,143
"Branch County, Michigan",40858,1032,187,342,15,400,679,26,023
"Jackson County, Michigan",138511,12350,564,1310,35,855,5011,26,075
"Macomb County, Michigan",704624,101734,2804,34996,546,4851,20770,26,099
"Baraga County, Michigan",6181,783,842,34,5,38,538,26,013
"Eaton County, Michigan",94564,7435,647,2552,32,1299,2927,26,045
"Upson County, Georgia",17868,7290,167,119,210,144,438,13,293
"Washington County, Georgia",8909,10856,48,137,0,159,327,13,303
"White County, Georgia",27699,430,172,171,1,423,593,13,311
"Peach County, Georgia",13261,12165,154,274,26,980,285,13,225
"Paulding County, Georgia",119808,30604,404,1563,71,2140,5235,13,223
"Pierce County, Georgia",16503,1799,79,0,0,587,282,13,229
"Pike County, Georgia",16152,1641,0,97,0,78,359,13,231
"Richmond County, Georgia",74934,113946,538,3809,434,2913,5278,13,245
"Screven County, Georgia",7783,5824,24,104,0,103,151,13,251
"Tattnall County, Georgia",14907,7446,84,48,5,2504,388,13,267
"Berrien County, Georgia",15904,2247,103,212,0,359,327,13,019
"Montgomery County, Illinois",27265,1078,50,75,14,77,269,17,135
"Whiteside County, Illinois",52852,936,112,341,56,579,1140,17,195
"Adams County, Illinois",61406,2731,297,527,14,113,997,17,001
"Clinton County, Illinois",35247,1298,96,214,0,193,586,17,027
"DeKalb County, Illinois",87649,8258,102,2379,0,3428,2550,17,037
"Edwards County, Illinois",6250,57,39,18,0,0,91,17,047
"Jasper County, Illinois",9333,47,3,9,0,8,194,17,079
"Jefferson County, Illinois",33162,3177,73,438,5,93,1037,17,081
"Vermilion County, Illinois",63747,10920,202,759,24,549,1362,17,183
"Will County, Illinois",506424,77941,2071,37809,229,44121,20720,17,197
"Williamson County, Illinois",60881,2874,154,785,21,666,1721,17,199
"Clark County, Illinois",15220,107,10,98,0,92,189,17,023
"Douglas County, Illinois",18792,135,130,131,14,176,245,17,041
"Effingham County, Illinois",33128,231,30,180,0,251,317,17,049
"Fulton County, Illinois",33002,1325,165,28,21,104,447,17,057
"Greene County, Illinois",12723,184,0,27,7,63,128,17,061
"Hamilton County, Illinois",8114,33,0,12,0,17,0,17,065
"Hardin County, Illinois",3764,107,7,4,0,0,57,17,069
"Henry County, Illinois",46313,938,52,244,0,1081,639,17,073
"Johnson County, Illinois",10954,1408,10,44,0,42,36,17,087
"Knox County, Illinois",43219,4485,254,554,0,1095,901,17,095
"Livingston County, Illinois",33377,1520,2,308,0,263,570,17,105
"Scott County, Illinois",4886,7,32,4,13,18,45,17,171
"Tazewell County, Illinois",127484,1645,193,1453,29,512,1879,17,179
"Warren County, Illinois",15107,501,38,429,0,874,197,17,187
"Harrison County, Indiana",38588,252,53,173,0,344,530,18,061
"LaPorte County, Indiana",91260,12169,353,639,24,2112,3597,18,091
"Wabash County, Indiana",30001,349,247,121,10,343,318,18,169
"Jasper County, Indiana",31527,204,8,110,0,869,729,18,073
"Martin County, Indiana",10025,77,33,18,0,2,57,18,101
"Porter County, Indiana",153462,6386,281,2350,162,1982,4013,18,127
"Ripley County, Indiana",27613,111,81,275,0,49,262,18,137
"Spencer County, Indiana",19905,143,31,69,0,66,233,18,147
"Tipton County, Indiana",14586,16,2,48,0,164,346,18,159
"Vigo County, Indiana",93609,7230,178,1987,71,804,3580,18,167
"Warrick County, Indiana",58364,1028,113,1660,3,347,765,18,173
"DeKalb County, Indiana",41724,300,20,177,0,100,606,18,033
"LaGrange County, Indiana",38347,75,23,35,3,53,657,18,087
"Rush County, Indiana",16173,280,0,19,0,26,143,18,139
"Boone County, Indiana",60837,1137,140,1943,0,362,1125,18,011
"Gogebic County, Michigan",13708,582,392,82,12,12,273,26,053
"Meeker County, Minnesota",22410,98,27,71,8,191,300,27,093
"Rice County, Minnesota",56681,3765,265,1411,56,2404,1603,27,131
"Red Lake County, Minnesota",3821,20,68,0,0,17,89,27,125
"Clay County, Minnesota",57471,2332,1125,803,77,341,1297,27,027
"Fillmore County, Minnesota",20442,107,7,105,1,87,200,27,045
"Polk County, Minnesota",28896,686,549,312,16,369,693,27,119
"Sibley County, Minnesota",14199,157,43,107,4,270,112,27,143
"Watonwan County, Minnesota",9411,102,9,129,0,1197,124,27,165
"Big Stone County, Minnesota",4878,3,14,3,0,7,91,27,011
"Cass County, Minnesota",24720,122,3450,187,4,68,717,27,021
"Hubbard County, Minnesota",19634,135,468,140,0,211,431,27,057
"Martin County, Minnesota",19117,92,30,102,16,212,283,27,091
"Nobles County, Minnesota",16901,928,145,1508,2,1684,566,27,105
"Sherburne County, Minnesota",87265,2335,556,1213,0,1206,1888,27,141
"Carver County, Minnesota",93751,1864,217,2893,11,715,2498,27,019
"McLeod County, Minnesota",34034,212,80,210,0,805,491,27,085
"Ramsey County, Minnesota",361226,65848,3398,78585,182,11592,23611,27,123
"Winona County, Minnesota",47455,651,186,1340,0,228,865,27,169
"Dodge County, Minnesota",19571,69,78,191,1,471,288,27,039
"Crow Wing County, Minnesota",61499,526,599,272,0,161,1160,27,035
"Wright County, Minnesota",126547,1905,399,1495,20,1503,2569,27,171
"Lincoln County, Minnesota",5533,25,33,9,0,12,65,27,081
"Mille Lacs County, Minnesota",23321,120,1298,175,19,117,815,27,095
"Carlton County, Minnesota",31849,670,1802,205,0,22,1085,27,017
"Kanabec County, Minnesota",15435,35,81,92,2,27,417,27,065
"St. Clair County, Alabama",76774,8447,351,745,11,619,1042,01,115
"Cullman County, Alabama",78804,1073,234,314,0,747,1681,01,043
"Houston County, Alabama",72344,28157,271,930,63,634,2303,01,069
"Tuscaloosa County, Alabama",133130,66307,448,3341,93,1786,2200,01,125
"Coffee County, Alabama",39118,8733,640,745,0,696,1730,01,031
"Chilton County, Alabama",36835,4041,361,195,0,1530,1093,01,021
"Coosa County, Alabama",7078,3615,9,0,0,55,0,01,037
"Etowah County, Alabama",82027,16330,581,764,24,1181,1841,01,055
"Lamar County, Alabama",12154,1479,3,17,0,121,111,01,075
"Butler County, Alabama",10280,9001,11,69,0,42,425,01,013
"Walker County, Alabama",58077,3961,143,331,0,467,1131,01,127
"Greene County, Alabama",1439,6618,37,0,0,8,222,01,063
"Bullock County, Alabama",2244,7666,0,50,0,210,78,01,011
"Chambers County, Alabama",19423,13316,112,376,0,91,342,01,017
"Haines Borough, Alaska",2055,0,222,33,4,7,197,02,100
"Juneau City and Borough, Alaska",21917,320,3409,2231,320,482,3548,02,110
"Yukon-Koyukuk Census Area, Alaska",1223,4,3731,38,2,8,371,02,290
"Denali Borough, Alaska",1892,26,49,58,0,5,216,02,068
"Hoonah-Angoon Census Area, Alaska",986,68,804,34,0,24,223,02,105
"Wrangell City and Borough, Alaska",1577,1,612,18,9,34,251,02,275
"Pima County, Arizona",781004,36581,39914,30011,1653,87891,50153,04,019
"Gila County, Arizona",41171,375,8733,439,22,1184,1622,04,007
"Cochise County, Arizona",107581,5132,1563,2445,482,3462,5202,04,003
"Apache County, Arizona",16328,373,52755,246,20,549,1240,04,001
"Yuma County, Arizona",159864,4533,3234,2777,167,33190,5703,04,027
"Navajo County, Arizona",51496,1005,48795,652,141,4033,3148,04,017
"Clay County, Arkansas",14275,100,45,4,0,216,249,05,021
"Drew County, Arkansas",12611,5289,3,60,0,198,256,05,043
"Randolph County, Arkansas",16842,192,127,21,57,122,334,05,121
"Boone County, Arkansas",35900,125,213,139,32,16,906,05,009
"Lincoln County, Arkansas",8872,4106,72,0,0,279,126,05,079
"Crittenden County, Arkansas",21168,23352,131,337,21,195,3468,05,035
"Faulkner County, Arkansas",101450,14094,532,1641,154,2456,3297,05,045
"Walker County, Georgia",63519,2840,118,565,9,495,1493,13,295
"Gwinnett County, Georgia",443421,254466,3718,106374,255,78987,27825,13,135
"Barrow County, Georgia",62276,9340,156,2928,5,2345,1941,13,013
"Charlton County, Georgia",8661,3419,257,96,14,230,363,13,049
"Clinch County, Georgia",4383,1900,2,0,0,251,150,13,065
"Bartow County, Georgia",87869,10931,319,933,1,2299,2567,13,015
"Douglas County, Georgia",66197,67249,105,2324,34,3852,3555,13,097
"Grady County, Georgia",16251,7406,134,139,9,53,836,13,131
"Hancock County, Georgia",2080,6235,0,31,12,114,43,13,141
"Whitfield County, Georgia",92420,4011,815,1536,4,3966,1485,13,313
"Macon County, Georgia",4558,8178,0,52,1,393,123,13,193
"Troup County, Georgia",40778,25307,209,1586,0,830,1209,13,285
"Harris County, Georgia",27006,5495,26,364,4,211,999,13,145
"Schley County, Georgia",3638,1328,0,0,0,196,59,13,249
"Worth County, Georgia",14049,5741,77,162,6,85,374,13,321
"Dooly County, Georgia",6194,6741,6,2,0,549,244,13,093
"Evans County, Georgia",6199,3175,15,97,0,1053,148,13,109
"Webster County, Georgia",1390,971,9,0,0,191,49,13,307
"Effingham County, Georgia",49360,8050,106,534,29,725,1673,13,103
"Glascock County, Georgia",2655,306,9,0,1,0,25,13,125
"Quitman County, Georgia",865,1188,0,168,4,0,64,13,239
"Chatham County, Georgia",152025,115023,929,7428,364,4299,8428,13,051
"Johnson County, Georgia",6218,3214,0,21,0,26,212,13,167
"Lanier County, Georgia",7683,2532,17,21,0,55,72,13,173
"Madison County, Georgia",24637,3108,110,112,0,935,316,13,195
"Mitchell County, Georgia",10929,10342,76,44,12,200,641,13,205
"Tift County, Georgia",26142,12007,105,559,0,1121,607,13,277
"Polk County, Georgia",33219,5035,190,154,20,2174,1116,13,233
"Talbot County, Georgia",2606,3649,2,35,0,4,25,13,263
"Terrell County, Georgia",3164,5220,7,271,0,41,34,13,273
"Thomas County, Georgia",26765,16240,60,74,23,414,1054,13,275
"Wilkinson County, Georgia",5333,3509,11,0,5,35,117,13,319
"Oglethorpe County, Georgia",11909,2624,6,32,0,64,296,13,221
"Randolph County, Georgia",2422,4351,0,0,0,75,125,13,243
"Ware County, Georgia",23071,10739,200,374,23,460,726,13,299
"Wayne County, Georgia",22251,6127,31,182,0,405,792,13,305
"Wilcox County, Georgia",5567,3131,34,0,0,51,41,13,315
"Baldwin County, Georgia",24245,19102,106,791,0,140,727,13,009
"Bulloch County, Georgia",49581,21245,301,990,199,1138,2666,13,031
"Clay County, Georgia",1056,1841,0,30,0,17,7,13,061
"Echols County, Georgia",2939,79,87,0,0,698,178,13,101
"DeKalb County, Georgia",257388,404889,7305,45447,325,12753,21216,13,089
"Haralson County, Georgia",26978,1481,20,120,0,109,519,13,143
"Jefferson County, Georgia",6796,8325,23,49,0,244,181,13,163
"Lincoln County, Georgia",5295,2433,4,0,2,47,75,13,181
"Murray County, Georgia",38443,413,53,135,0,292,388,13,213
"Pulaski County, Georgia",6743,4252,14,30,0,25,152,13,235
"Rabun County, Georgia",15313,449,55,188,1,507,132,13,241
"Towns County, Georgia",11140,173,41,60,0,90,113,13,281
"Treutlen County, Georgia",4960,1792,0,0,0,19,24,13,283
"Irwin County, Georgia",6503,2674,11,38,0,50,44,13,155
"Appling County, Georgia",13750,3561,97,74,0,783,175,13,001
"Shelby County, Ohio",45876,1276,142,576,0,74,805,39,149
"Williams County, Ohio",34946,404,108,214,10,436,698,39,171
"Columbiana County, Ohio",97715,2112,149,191,7,870,2146,39,029
"Fulton County, Ohio",39307,169,183,182,19,1377,1016,39,051
"Gallia County, Ohio",28219,657,130,232,40,168,642,39,053
"Mahoning County, Ohio",183221,34740,608,2042,84,1926,7340,39,099
"Scioto County, Ohio",71545,2224,253,321,6,245,1446,39,145
"Morrow County, Ohio",33794,312,40,40,0,134,723,39,117
"Marion County, Arkansas",15820,80,152,147,0,18,259,05,089
"Searcy County, Arkansas",7374,48,220,55,0,37,174,05,129
"Benton County, Arkansas",232718,4541,3707,10253,1620,4865,8055,05,007
"Hot Spring County, Arkansas",28434,3834,152,133,8,453,583,05,059
"Madison County, Arkansas",15176,49,213,203,95,151,324,05,087
"Dolores County, Colorado",1795,0,31,0,0,3,28,08,033
"Jackson County, Colorado",1234,0,0,0,0,22,5,08,057
"Montezuma County, Colorado",21077,72,3193,196,17,940,536,08,083
"Boulder County, Colorado",286950,2944,1416,15281,203,5934,9782,08,013
"Yuma County, Colorado",9587,112,63,5,0,87,149,08,125
"Routt County, Colorado",24002,232,99,285,5,234,215,08,107
"Clear Creek County, Colorado",8947,114,28,91,14,1,300,08,019
"Pueblo County, Colorado",133497,3494,6688,1489,170,13963,6681,08,101
"Park County, Colorado",16856,56,75,123,23,123,611,08,093
"Mesa County, Colorado",142163,1020,1315,1411,213,1628,3468,08,077
"El Paso County, Colorado",556174,44801,5377,19567,2744,28546,41765,08,041
"Arapahoe County, Colorado",461113,69853,4482,38957,1464,39870,28821,08,005
"New Castle County, Delaware",357185,139960,1663,30704,182,11877,14594,10,003
"Kent County, Delaware",116954,45424,1289,3552,102,2089,7289,10,001
"Litchfield County, Connecticut",168841,3165,498,3438,9,2092,3959,09,005
"Palm Beach County, Florida",1077422,273384,3056,39423,527,37551,33664,12,099
"Miami-Dade County, Florida",2028500,469202,5101,43152,790,107096,45587,12,086
"Franklin County, Florida",9555,1664,11,41,43,317,180,12,037
"Hamilton County, Florida",8805,4949,166,43,0,155,208,12,047
"Sumter County, Florida",111290,8818,416,1105,100,1453,1862,12,119
"Holmes County, Florida",17237,1356,266,131,60,67,315,12,059
"Lee County, Florida",622299,63282,1395,11967,412,24959,13154,12,071
"Collier County, Florida",329909,25404,674,4861,32,5739,4834,12,021
"Pasco County, Florida",456080,30221,1954,13580,320,8345,14102,12,101
"Highlands County, Florida",83541,9987,197,1467,0,6079,2166,12,055
"DeSoto County, Florida",31079,4634,31,83,41,584,451,12,027
"Columbia County, Florida",53651,12653,196,744,13,854,1857,12,023
"Putnam County, Florida",58814,11922,309,456,5,347,1399,12,107
"Union County, Florida",11268,3359,116,93,10,191,266,12,125
"Levy County, Florida",35391,3541,67,349,0,30,1025,12,075
"Volusia County, Florida",436700,58584,1830,9618,158,18291,11306,12,127
"Madison County, Florida",10713,7128,63,163,5,284,104,12,079
"Escambia County, Florida",213368,68733,1301,9367,436,3827,16459,12,033
"Okaloosa County, Florida",159371,20032,806,6188,275,7016,10106,12,091
"Lumpkin County, Georgia",30546,672,91,267,46,367,413,13,187
"Miller County, Georgia",3940,1765,33,0,17,0,32,13,201
"Oconee County, Georgia",33718,1993,52,1403,25,110,831,13,219
"Henry County, Georgia",107871,99006,155,7519,6,3003,7796,13,151
"Long County, Georgia",11937,4660,31,203,82,785,994,13,183
"Stephens County, Georgia",21785,3064,45,172,2,310,372,13,257
"Jeff Davis County, Georgia",11601,2515,0,34,0,397,489,13,161
"Calhoun County, Georgia",2163,3851,0,37,0,213,101,13,037
"Bibb County, Georgia",61569,83405,291,3113,75,1441,3306,13,021
"Marion County, Georgia",5191,2602,14,77,52,387,109,13,197
"Bleckley County, Georgia",8955,3522,12,31,0,183,104,13,023
"Franklin County, Georgia",19429,2119,19,215,0,570,414,13,119
"Lamar County, Georgia",12363,5489,26,90,0,138,566,13,171
"Emanuel County, Georgia",14069,7636,57,82,0,235,454,13,107
"Jasper County, Georgia",10496,2838,8,41,0,377,156,13,159
"Liberty County, Georgia",28086,25265,321,1260,317,2058,4042,13,179
"Seminole County, Georgia",5170,2760,0,65,0,48,278,13,253
"Twiggs County, Georgia",4589,3526,0,17,0,0,97,13,289
"Taylor County, Georgia",4682,3081,0,149,0,174,30,13,269
"Toombs County, Georgia",17156,6961,3,245,0,2152,455,13,279
"Preble County, Ohio",39820,215,60,182,3,51,762,39,135
"Allen County, Ohio",85161,12230,247,871,0,1067,3599,39,003
"Crawford County, Ohio",40391,426,36,220,21,123,604,39,033
"Guernsey County, Ohio",37144,444,109,171,0,306,937,39,059
"Mercer County, Ohio",39658,335,0,228,236,135,292,39,107
"Clark County, Ohio",116999,10915,256,825,38,655,5038,39,023
"Lorain County, Ohio",261580,26255,1117,3578,98,3873,11169,39,093
"Montgomery County, Ohio",386350,108397,1212,11476,207,5335,18693,39,113
"Warren County, Ohio",202506,7895,193,13183,5,1114,4236,39,165
"Ashtabula County, Ohio",90804,3515,146,533,12,433,2387,39,007
"Kay County, Oklahoma",34574,915,4061,199,0,1361,3292,40,071
"Craig County, Oklahoma",9425,451,3139,119,18,104,1134,40,035
"Canadian County, Oklahoma",113820,3995,5715,4168,25,4032,8700,40,017
"Latimer County, Oklahoma",6866,113,2193,95,0,26,1055,40,077
"Texas County, Oklahoma",13182,514,268,691,5,5269,876,40,139
"Pushmataha County, Oklahoma",8170,84,1588,41,16,33,1196,40,127
"Johnston County, Oklahoma",7947,207,781,10,22,120,1977,40,069
"Beaver County, Oklahoma",4335,31,73,2,0,811,125,40,007
"Hughes County, Oklahoma",8960,761,2885,18,0,47,701,40,063
"Comanche County, Oklahoma",76207,20396,6312,3109,521,3217,12000,40,031
"Adair County, Oklahoma",9360,36,9806,178,48,556,2236,40,001
"Stephens County, Oklahoma",35971,766,2318,239,55,2002,2296,40,137
"Carter County, Oklahoma",36059,3141,3763,598,23,560,4175,40,019
"Greer County, Oklahoma",4613,380,202,0,0,227,439,40,055
"McIntosh County, Oklahoma",13768,528,3179,22,13,41,2174,40,091
"Murray County, Oklahoma",10582,221,1507,86,0,128,1422,40,099
"Ottawa County, Oklahoma",21248,351,5697,232,215,673,3038,40,115
"Wagoner County, Oklahoma",59476,2777,6956,1148,64,1304,7233,40,145
"Caddo County, Oklahoma",18618,668,6679,79,45,904,2249,40,015
"Muskogee County, Oklahoma",39748,7262,12381,475,21,2183,6666,40,101
"Bryan County, Oklahoma",34348,817,6717,286,68,990,3231,40,013
"Jackson County, Oregon",197752,1486,2740,2837,727,3068,7964,41,029
"Grant County, Oregon",6811,7,96,55,17,35,168,41,023
"Clackamas County, Oregon",359191,3865,3181,17543,1126,8672,16885,41,005
"Tillamook County, Oregon",24561,110,236,181,123,262,916,41,057
"Josephine County, Oregon",79658,442,1014,866,50,1128,3093,41,033
"Umatilla County, Oregon",66148,740,2463,800,199,3677,3102,41,059
"Columbia County, Oregon",47618,248,478,509,88,324,2110,41,009
"Wasco County, Oregon",23029,80,815,238,154,976,838,41,065
"Montgomery County, Georgia",6053,2392,0,16,0,477,120,13,209
"Rockdale County, Georgia",34832,49114,88,1775,182,1599,2127,13,247
"Wheeler County, Georgia",4465,3440,0,0,0,0,23,13,309
"Banks County, Georgia",17392,486,100,210,0,322,198,13,011
"Clarke County, Georgia",79862,35215,141,4891,84,2636,3347,13,059
"Glynn County, Georgia",57857,22235,303,1099,98,811,2067,13,127
"Jackson County, Georgia",58699,4625,34,1211,45,1566,1705,13,157
"Jones County, Georgia",20836,7043,50,213,0,9,428,13,169
"Muscogee County, Georgia",84841,90580,824,4840,276,5341,9037,13,215
"Stewart County, Georgia",1483,3328,9,203,0,1174,96,13,259
"Turner County, Georgia",4550,3241,0,61,0,79,12,13,287
"Atkinson County, Georgia",6196,1444,81,0,0,508,10,13,003
"Baker County, Georgia",1710,1244,1,96,21,45,15,13,007
"Candler County, Georgia",7242,2743,0,185,0,392,250,13,043
"Carroll County, Georgia",87519,22664,1145,904,102,2908,1941,13,045
"Crisp County, Georgia",11973,10344,0,43,26,70,257,13,081
"Cobb County, Georgia",440462,207059,1941,40271,409,38088,22988,13,067
"Dade County, Georgia",15318,134,0,285,16,63,381,13,083
"Brooks County, Georgia",9298,5604,0,66,20,415,187,13,027
"Elbert County, Georgia",13059,5727,0,109,0,107,164,13,105
"Jenkins County, Georgia",5207,3070,126,98,0,214,78,13,165
"Newton County, Georgia",54442,48483,344,1205,88,984,2533,13,217
"Colquitt County, Georgia",29029,10622,491,380,5,4232,727,13,071
"Clayton County, Georgia",46348,196495,464,14592,247,16789,8603,13,063
"Hall County, Georgia",170110,14345,458,3538,37,6010,4169,13,139
"Maui County, Hawaii",58891,845,424,48579,18093,2865,36282,15,009
"Oneida County, Idaho",4293,5,7,0,0,0,80,16,071
"Gem County, Idaho",15611,20,240,98,0,878,484,16,045
"Adams County, Idaho",3911,16,72,0,8,10,80,16,003
"Jerome County, Idaho",22161,41,174,227,106,613,408,16,053
"Lewis County, Idaho",3327,5,321,53,1,25,106,16,061
"Owyhee County, Idaho",9139,61,372,13,0,1572,395,16,073
"Boundary County, Idaho",11145,63,161,144,65,80,187,16,021
"Caribou County, Idaho",6636,0,11,4,0,139,163,16,029
"Bannock County, Idaho",76327,603,2536,1688,158,1683,2770,16,005
"Bonneville County, Idaho",102331,583,512,1169,127,6523,3147,16,019
"Canyon County, Idaho",180081,893,2257,1846,598,23539,8419,16,027
"Latah County, Idaho",36325,462,531,915,20,212,1040,16,057
"Sangamon County, Illinois",161188,25303,205,4006,105,840,5214,17,167
"Randolph County, Illinois",28031,3252,57,190,3,289,473,17,157
"Ogle County, Illinois",48105,520,163,276,24,1113,824,17,141
"Morgan County, Illinois",30809,2398,88,234,2,52,664,17,137
"White County, Illinois",13527,97,28,106,11,18,81,17,193
"Henderson County, Illinois",6647,9,0,39,0,0,114,17,071
"McLean County, Illinois",143728,14423,355,8797,33,1170,4072,17,113
"Perry County, Illinois",18779,1925,27,146,0,64,310,17,145
"Rock Island County, Illinois",115405,14968,582,3650,61,3941,5266,17,161
"Wabash County, Illinois",11062,76,2,112,0,39,255,17,185
"Cumberland County, Illinois",10544,8,4,46,6,53,175,17,035
"Jo Daviess County, Illinois",20973,123,74,134,8,60,216,17,085
"Lawrence County, Illinois",14073,1331,163,87,0,71,308,17,101
"Marshall County, Illinois",11336,34,6,44,0,64,195,17,123
"Christian County, Illinois",31774,436,100,208,36,2,375,17,021
"Jackson County, Illinois",44208,8723,167,1996,62,1085,1736,17,077
"Peoria County, Illinois",132888,32480,499,7537,11,2670,6685,17,143
"Piatt County, Illinois",15914,91,9,88,0,39,260,17,147
"Stark County, Illinois",5290,53,0,51,0,3,50,17,175
"Bond County, Illinois",15077,1264,84,59,0,56,49,17,005
"Carroll County, Illinois",13883,179,11,111,0,59,223,17,015
"Jersey County, Illinois",21211,96,23,67,0,17,523,17,083
"Howard County, Maryland",181711,60232,846,57613,84,4209,14160,24,027
"Prince George's County, Maryland",150782,569478,3283,37453,475,120308,26891,24,033
"Anne Arundel County, Maryland",415470,95710,1175,21605,386,13578,23351,24,003
"Baltimore County, Maryland",501423,239308,2460,49885,726,11104,23112,24,005
"Frederick County, Maryland",202622,24411,794,11192,170,3896,8337,24,021
"Calvert County, Maryland",74326,10709,135,1718,51,531,4041,24,009
"Garrett County, Maryland",28327,250,44,125,9,33,447,24,023
"Kent County, Maryland",15774,2787,26,228,6,266,449,24,029
"Montgomery County, Maryland",553846,192639,3273,154340,467,93555,45410,24,031
"Bethel Census Area, Alaska",2022,135,15075,195,39,45,623,02,050
"North Slope Borough, Alaska",3077,151,5017,534,189,72,752,02,185
"Sitka City and Borough, Alaska",5554,80,1133,579,8,68,1218,02,220
"Fairbanks North Star Borough, Alaska",74722,4412,7849,3207,537,1106,7239,02,090
"Ketchikan Gateway Borough, Alaska",9178,104,1969,1134,27,151,1237,02,130
"Matanuska-Susitna Borough, Alaska",87323,1299,6529,1453,281,396,8088,02,170
"Nome Census Area, Alaska",1555,95,7572,166,14,12,574,02,180
"Dillingham Census Area, Alaska",866,79,3569,67,3,31,346,02,070
"Yakutat City and Borough, Alaska",293,5,251,32,8,6,54,02,282
"Lake and Peninsula Borough, Alaska",293,16,973,23,5,1,82,02,164
"Southeast Fairbanks Census Area, Alaska",5257,45,954,183,11,145,283,02,240
"Anchorage Municipality, Alaska",183741,16341,23241,28276,7187,6910,27835,02,020
"Aleutians East Borough, Alaska",510,142,1580,666,34,142,311,02,013
"Valdez-Cordova Census Area, Alaska",6633,35,1286,376,58,196,659,02,261
"Kenai Peninsula Borough, Alaska",48218,365,4574,924,198,849,3336,02,122
"Skagway Municipality, Alaska",940,44,66,9,0,4,44,02,230
"Prince of Wales-Hyder Census Area, Alaska",3056,29,2510,91,40,21,660,02,198
"Petersburg Borough, Alaska",2480,33,253,153,19,12,307,02,195
"Kusilvak Census Area, Alaska",297,40,7600,11,5,44,253,02,158
"Maricopa County, Arizona",3360305,243640,85876,181352,9694,288830,159113,04,013
"Graham County, Arizona",30366,744,4804,240,46,701,1095,04,009
"Santa Cruz County, Arizona",39840,301,360,424,0,4931,624,04,023
"La Paz County, Arizona",16035,200,3109,151,10,706,582,04,012
"Mohave County, Arizona",187413,2217,4727,2314,458,5325,5241,04,015
"Coconino County, Arizona",90333,1742,37504,2766,235,3584,5110,04,005
"Yavapai County, Arizona",208248,1495,3819,2205,165,6102,6033,04,025
"Greenlee County, Arizona",8715,209,369,52,0,126,51,04,011
"Pinal County, Arizona",345754,18915,21852,7139,1365,19648,18120,04,021
"Nevada County, Arkansas",5247,2884,13,3,2,0,202,05,099
"Cross County, Arkansas",12380,3141,35,5,0,7,1256,05,037
"Dallas County, Arkansas",3888,3148,41,4,18,70,110,05,039
"Columbia County, Arkansas",14396,8592,48,254,0,243,243,05,027
"Saline County, Arkansas",105610,8518,466,1528,154,761,2378,05,125
"Van Buren County, Arkansas",15816,101,103,37,21,182,382,05,141
"Izard County, Arkansas",12751,248,169,0,0,50,352,05,065
"Independence County, Arkansas",34101,720,70,264,8,1248,1016,05,063
"Logan County, Arkansas",19887,298,183,474,0,203,623,05,083
"Grant County, Arkansas",17180,482,31,7,13,47,366,05,053
"Franklin County, Arkansas",16682,174,288,146,38,72,338,05,047
"Pike County, Arkansas",9774,439,56,61,0,279,147,05,109
"Jefferson County, Arkansas",27475,39165,196,660,89,881,816,05,069
"Montgomery County, Arkansas",8247,30,132,36,0,274,231,05,097
"Scott County, Arkansas",9239,25,197,75,0,312,528,05,127
"Sebastian County, Arkansas",93752,8642,1453,5737,26,11990,5991,05,131
"Crawford County, Arkansas",55246,993,1427,1177,15,1902,1979,05,033
"Chicot County, Arkansas",4614,5724,15,62,0,69,131,05,017
"Johnson County, Arkansas",24056,421,63,543,36,577,676,05,071
"Lee County, Arkansas",3949,5108,35,15,0,20,67,05,077
"Marion County, Iowa",31772,349,71,371,7,139,463,19,125
"Washington County, Iowa",21043,172,58,132,4,392,299,19,183
"Wright County, Iowa",11901,49,3,67,0,518,201,19,197
"Cass County, Iowa",12695,26,70,43,18,79,160,19,029
"Cherokee County, Iowa",10762,228,39,90,0,6,218,19,035
"Crawford County, Iowa",14619,477,107,353,27,1087,364,19,047
"Des Moines County, Iowa",35502,2258,78,302,0,96,1150,19,057
"Fayette County, Iowa",18890,444,34,50,0,41,344,19,065
"Harrison County, Iowa",13739,27,29,69,6,16,203,19,085
"Kossuth County, Iowa",14481,114,58,84,2,76,163,19,109
"Mills County, Iowa",14492,103,142,70,0,103,124,19,129
"Monona County, Iowa",8428,27,152,0,36,9,78,19,133
