NAME,Employee,Direct,Medicare,Medicaid,VA,state,county,noins
"Scott County, Iowa",71166,8941,3791,16347,1876,19,163,400.0
"Sherman County, Kansas",2177,500,152,365,17,20,181,6651.0
"Thomas County, Kansas",3247,757,80,234,23,20,193,380.0
"Morris County, Kansas",1995,399,118,173,137,20,127,448.0
"Rooks County, Kansas",1836,430,108,178,3,20,163,368.0
"Clark County, Kansas",770,145,39,30,9,20,25,239.0
"Harper County, Kansas",1494,558,221,398,58,20,77,70.0
"Lyon County, Kansas",13799,2732,649,1363,224,20,111,512.0
"Pawnee County, Kansas",1905,619,144,181,19,20,145,2405.0
"Comanche County, Kansas",582,237,32,31,4,20,33,460.0
"Gove County, Kansas",729,356,53,53,11,20,63,89.0
"Harvey County, Kansas",13335,2284,647,1136,444,20,79,247.0
"Kearny County, Kansas",1183,324,118,209,0,20,93,2430.0
"McPherson County, Kansas",11666,2210,700,737,175,20,113,446.0
"Desha County, Arkansas",3157,733,582,2031,53,5,41,1579.0
"Fulton County, Arkansas",2804,713,802,1530,111,5,49,621.0
"Howard County, Arkansas",3725,798,586,1612,166,5,61,975.0
"Garland County, Arkansas",25339,8483,3924,11453,928,5,51,896.0
"Mississippi County, Arkansas",12634,1937,2699,6631,355,5,93,8750.0
"Pope County, Arkansas",21159,4446,3015,7935,754,5,115,2528.0
"Prairie County, Arkansas",2352,802,245,803,32,5,117,4628.0
"Union County, Arkansas",12198,3123,2186,4663,245,5,139,525.0
"Woodruff County, Arkansas",1781,373,303,959,37,5,147,2526.0
"Cleburne County, Arkansas",6107,2138,1198,2745,467,5,23,335.0
"Cleveland County, Arkansas",2697,314,273,1021,58,5,25,1784.0
"Jackson County, Arkansas",3545,787,853,2593,150,5,67,431.0
"Hempstead County, Arkansas",6464,1496,928,2634,106,5,57,904.0
"Sharp County, Arkansas",3519,867,1307,2917,275,5,135,1480.0
"Stone County, Arkansas",2296,1072,849,2166,149,5,137,1014.0
"Washington County, Arkansas",91347,16348,5939,15529,2092,5,143,837.0
"Baxter County, Arkansas",11394,3353,1912,4081,769,5,5,21302.0
"Ashley County, Arkansas",5091,1533,850,3086,154,5,3,1917.0
"Craighead County, Arkansas",35717,7387,3929,13281,1401,5,31,1499.0
"Greene County, Arkansas",14464,2549,2186,5796,502,5,55,7686.0
"Perry County, Arkansas",2903,680,687,1520,133,5,105,3045.0
"Poinsett County, Arkansas",5859,1411,1251,3413,258,5,111,468.0
"Sevier County, Arkansas",4661,792,382,1679,155,5,133,2321.0
"Calhoun County, Arkansas",1503,211,296,594,63,5,13,2488.0
"Clark County, Arkansas",8391,1356,456,2117,254,5,19,414.0
"Lawrence County, Arkansas",4559,1188,777,2412,43,5,75,1695.0
"Monroe County, Arkansas",1663,657,256,1075,28,5,95,930.0
"Conway County, Arkansas",6420,1222,841,2672,152,5,29,547.0
"Newton County, Arkansas",2198,471,555,993,41,5,101,1299.0
"Arkansas County, Arkansas",5102,1841,684,2555,133,5,1,276.0
"Lonoke County, Arkansas",24061,4443,2582,7108,4455,5,85,1091.0
"Carroll County, Arkansas",8069,1763,930,2783,230,5,15,4541.0
"St. Francis County, Arkansas",5436,1638,1091,3597,86,5,123,2715.0
"Pulaski County, Arkansas",138392,28075,14429,41461,8987,5,119,1700.0
"Merced County, California",72239,12581,5076,53697,1150,6,47,25824.0
"Mariposa County, California",5282,1126,385,2477,88,6,43,19083.0
"Modoc County, California",2077,337,376,1346,0,6,49,916.0
"Contra Costa County, California",466174,86813,17435,106869,4596,6,13,646.0
"Inyo County, California",6319,1057,345,1721,67,6,27,49358.0
"Stanislaus County, California",170685,30190,12803,94432,2051,6,99,904.0
"Santa Barbara County, California",142783,42841,6301,45516,4690,6,83,26983.0
"Tehama County, California",16460,4362,2248,11852,349,6,103,38784.0
"Mono County, California",4980,1628,282,1139,228,6,51,3656.0
"San Benito County, California",22253,2923,811,7601,296,6,69,1904.0
"Bryan County, Georgia",11937,1989,381,1237,3297,13,29,4038.0
"Butts County, Georgia",7457,1120,832,1825,323,13,35,3079.0
"Camden County, Georgia",15055,2856,1244,2444,5582,13,39,2132.0
"Crawford County, Georgia",3963,625,527,1077,256,13,79,5280.0
"Early County, Georgia",2615,499,289,836,63,13,99,1355.0
"Coffee County, Georgia",11343,2159,1674,2959,584,13,69,1671.0
"Coweta County, Georgia",60174,9116,2757,5584,2005,13,77,6008.0
"Gilmer County, Georgia",7836,1939,1265,1378,448,13,123,11877.0
"Walton County, Georgia",34461,5786,2059,4456,702,13,297,4989.0
"Wilkes County, Georgia",2827,604,392,552,95,13,317,9132.0
"Dodge County, Georgia",6976,1322,941,1640,149,13,91,1123.0
"Gordon County, Georgia",19489,3714,1823,3551,364,13,129,1809.0
"Cherokee County, Georgia",103414,19092,2945,5970,3488,13,57,7608.0
"Fayette County, Georgia",45314,9352,1245,2969,3307,13,113,21814.0
"Lee County, Georgia",11106,1323,380,1313,1343,13,177,6405.0
"Pickens County, Georgia",10535,2462,731,2311,359,13,227,2491.0
"Greene County, Georgia",4637,1146,492,887,127,13,133,2964.0
"Cook County, Georgia",4863,768,687,1322,193,13,75,2318.0
"Dawson County, Georgia",9075,1787,791,937,140,13,85,2808.0
"Fulton County, Georgia",445678,90433,17243,48721,8397,13,121,2489.0
"Hawaii County, Hawaii",67900,12056,4312,25790,2015,15,1,91431.0
"Honolulu County, Hawaii",398206,55943,11344,65492,52126,15,3,8411.0
"Kauai County, Hawaii",29235,3305,1103,5859,609,15,7,26318.0
"Kalawao County, Hawaii",46,7,0,6,0,15,5,2990.0
"Cassia County, Idaho",6742,2034,368,1169,138,16,31,0.0
"Lincoln County, Idaho",1291,440,130,302,51,16,63,2685.0
"Valley County, Idaho",3029,1334,291,521,148,16,85,993.0
"Franklin County, Idaho",4327,856,282,696,159,16,41,1170.0
"Nez Perce County, Idaho",14894,2371,1286,2555,354,16,69,1089.0
"Kootenai County, Idaho",54253,14564,3767,7723,2068,16,55,3290.0
"Minidoka County, Idaho",6082,1314,549,814,75,16,67,13071.0
"Twin Falls County, Idaho",27994,7338,1723,4010,1125,16,83,3261.0
