NAME,poverty,state,county
"Carroll County, Virginia",4315,51,035
"Sacramento County, California",220713,06,067
"El Dorado County, California",15643,06,017
"Monterey County, California",54393,06,053
"San Francisco County, California",89030,06,075
"San Diego County, California",374787,06,073
"Tulare County, California",108512,06,107
"Humboldt County, California",26674,06,023
"Alpine County, California",205,06,003
"Madera County, California",29273,06,039
"Santa Cruz County, California",34419,06,087
"Trinity County, California",2372,06,105
"Riverside County, California",325279,06,065
"San Bernardino County, California",333613,06,071
"Marin County, California",18349,06,041
"Placer County, California",29588,06,061
"Shasta County, California",29423,06,089
"Solano County, California",41121,06,095
"Colusa County, California",2774,06,011
"Copiah County, Mississippi",6611,28,029
"Hinds County, Mississippi",48955,28,049
"Union County, Mississippi",4255,28,145
"Tippah County, Mississippi",4321,28,139
"Forrest County, Mississippi",18604,28,035
"Lafayette County, Mississippi",10788,28,071
"Lowndes County, Mississippi",11722,28,087
"Wilkinson County, Mississippi",2673,28,157
"Jefferson Davis County, Mississippi",2781,28,065
"Scott County, Mississippi",7141,28,123
"Yazoo County, Mississippi",7503,28,163
"Bolivar County, Mississippi",10593,28,011
"Pike County, Mississippi",12637,28,113
"Stone County, Mississippi",3466,28,131
"Kemper County, Mississippi",2579,28,069
"Sunflower County, Mississippi",6937,28,133
"Adams County, Mississippi",9052,28,001
"DeSoto County, Mississippi",16261,28,033
"Delaware County, Pennsylvania",54356,42,045
"Somerset County, Pennsylvania",8559,42,111
"Madison County, Missouri",1692,29,123
"Vernon County, Missouri",2923,29,217
"Nodaway County, Missouri",4263,29,147
"Chariton County, Missouri",1013,29,041
"Wayne County, Missouri",3115,29,223
"Scott County, Missouri",7512,29,201
"Barton County, Missouri",2366,29,011
"Cedar County, Missouri",2183,29,039
"Gasconade County, Missouri",1296,29,073
"Macon County, Missouri",1908,29,121
"Oregon County, Missouri",2488,29,149
"Ste. Genevieve County, Missouri",2023,29,186
"Douglas County, Missouri",2674,29,067
"Henry County, Missouri",4509,29,083
"Lawrence County, Missouri",6306,29,109
"Pulaski County, Missouri",6497,29,169
"Texas County, Missouri",6111,29,215
"Callaway County, Missouri",4335,29,027
"Cooper County, Missouri",1936,29,053
"Gentry County, Missouri",958,29,075
"Washington County, Virginia",7598,51,191
"Page County, Virginia",3553,51,139
"Alexandria city, Virginia",16108,51,510
"Hampton city, Virginia",19751,51,650
"Arlington County, Virginia",15625,51,013
"Buchanan County, Virginia",5905,51,027
"Stafford County, Virginia",6315,51,179
"Richmond city, Virginia",50200,51,760
"Essex County, Virginia",1835,51,057
"Tazewell County, Virginia",7004,51,185
"Manassas Park city, Virginia",1073,51,685
"Sussex County, Virginia",1187,51,183
"Manassas city, Virginia",3270,51,683
"Salem city, Virginia",2058,51,775
"Charlotte County, Virginia",2798,51,037
"Greensville County, Virginia",1259,51,081
"Thurston County, Washington",28660,53,067
"Columbia County, Washington",446,53,013
"Guayanilla Municipio, Puerto Rico",10110,72,059
"Sabana Grande Municipio, Puerto Rico",10428,72,121
"Hormigueros Municipio, Puerto Rico",6937,72,067
"Utuado Municipio, Puerto Rico",15055,72,141
"Florida Municipio, Puerto Rico",5896,72,054
"Moca Municipio, Puerto Rico",19506,72,099
"Salinas Municipio, Puerto Rico",13986,72,123
"Mississippi County, Missouri",2985,29,133
"Ozark County, Missouri",2686,29,153
"Bollinger County, Missouri",1840,29,017
"Sumner County, Tennessee",16277,47,165
"Trousdale County, Tennessee",947,47,169
"Clay County, Tennessee",1969,47,027
"Moultrie County, Illinois",1040,17,139
"Pike County, Illinois",2100,17,149
"Pope County, Illinois",620,17,151
"St. Clair County, Illinois",38099,17,163
"Shelby County, Illinois",2327,17,173
"Champaign County, Illinois",38859,17,019
"Calhoun County, Illinois",548,17,013
"Ford County, Illinois",1785,17,053
"Kane County, Illinois",49371,17,089
"Kendall County, Illinois",5647,17,093
"Brown County, Illinois",549,17,009
"Marion County, Illinois",6493,17,121
"Mason County, Illinois",1911,17,125
"Iroquois County, Illinois",3378,17,075
"Clay County, Illinois",2153,17,025
"Gallatin County, Illinois",1050,17,059
"Monroe County, Illinois",1400,17,133
"Union County, Illinois",3005,17,181
"Winnebago County, Illinois",43574,17,201
"Pulaski County, Illinois",1116,17,153
"Schuyler County, Illinois",1291,17,169
"Edgar County, Illinois",2054,17,045
"Boone County, Illinois",5341,17,007
"Bureau County, Illinois",4040,17,011
"Coles County, Illinois",9932,17,029
"Crawford County, Illinois",1934,17,033
"Putnam County, Illinois",480,17,155
"De Witt County, Illinois",1768,17,039
"Lee County, Illinois",3874,17,103
"Macoupin County, Illinois",6175,17,117
"Richland County, Illinois",2278,17,159
"Washington County, Illinois",980,17,189
"Washington County, Oregon",52106,41,067
"Clatsop County, Oregon",3864,41,007
"Cameron County, Pennsylvania",698,42,023
"Bucks County, Pennsylvania",36275,42,017
"Lehigh County, Pennsylvania",44387,42,077
"Clarion County, Pennsylvania",6107,42,031
"Greene County, Pennsylvania",4482,42,059
"Luzerne County, Pennsylvania",45053,42,079
"Columbia County, Pennsylvania",9150,42,037
"Jefferson County, Pennsylvania",6511,42,065
"Perry County, Pennsylvania",4223,42,099
"Sullivan County, Pennsylvania",782,42,113
"Kent County, Rhode Island",12331,44,003
"Washington County, Rhode Island",10351,44,009
"Newberry County, South Carolina",6539,45,071
"Clarendon County, South Carolina",7452,45,027
"Sumter County, South Carolina",19491,45,085
"Barnwell County, South Carolina",5878,45,011
"Darlington County, South Carolina",13123,45,031
"York County, South Carolina",27365,45,091
"Cherokee County, South Carolina",10837,45,021
"Jasper County, South Carolina",4960,45,053
"Lee County, South Carolina",3977,45,061
"Abbeville County, South Carolina",4479,45,001
"Lyman County, South Dakota",778,46,085
"Deuel County, South Dakota",371,46,039
"Glenn County, California",4818,06,021
"Butte County, California",41974,06,007
"Kings County, California",24725,06,031
"Plumas County, California",2224,06,063
"San Luis Obispo County, California",33261,06,079
"Fresno County, California",218254,06,019
"Kern County, California",179980,06,029
"Orange County, California",340048,06,059
"Ventura County, California",74645,06,111
"Calaveras County, California",5147,06,009
"Sutter County, California",14687,06,101
"San Mateo County, California",51085,06,081
"Tuolumne County, California",6443,06,109
"San Joaquin County, California",105461,06,077
"Amador County, California",3451,06,005
"Phillips County, Colorado",256,08,095
"Archuleta County, Colorado",1153,08,007
"Denver County, Colorado",89203,08,031
"Kiowa County, Colorado",177,08,061
"Huerfano County, Colorado",1030,08,055
"Baca County, Colorado",654,08,009
"Gilpin County, Colorado",286,08,047
"Kit Carson County, Colorado",421,08,063
"Gunnison County, Colorado",2154,08,051
"Mineral County, Colorado",113,08,079
"Ouray County, Colorado",344,08,091
"Sedgwick County, Colorado",434,08,115
"Weld County, Colorado",29866,08,123
"Custer County, Colorado",601,08,027
"Costilla County, Colorado",1023,08,023
"Douglas County, Colorado",10275,08,035
"Lake County, Colorado",1110,08,065
"La Plata County, Colorado",4919,08,067
"Pitkin County, Colorado",1200,08,097
"Rio Grande County, Colorado",1894,08,105
"Bent County, Colorado",1177,08,011
"Crowley County, Colorado",1339,08,025
"San Juan County, Colorado",31,08,111
"Larimer County, Colorado",38822,08,069
"Logan County, Colorado",2701,08,075
"San Miguel County, Colorado",909,08,113
"Teller County, Colorado",1984,08,119
"Elbert County, Colorado",1230,08,039
"Las Animas County, Colorado",2474,08,071
"Lincoln County, Colorado",515,08,073
"Summit County, Colorado",2437,08,117
"Alamosa County, Colorado",3528,08,003
"Delta County, Colorado",5379,08,029
"Fremont County, Colorado",5226,08,043
"Montrose County, Colorado",6226,08,085
"Morgan County, Colorado",3078,08,087
"Saguache County, Colorado",1152,08,109
"Prowers County, Colorado",1866,08,099
"Washington County, Colorado",535,08,121
"Grand County, Colorado",1440,08,049
"Otero County, Colorado",4226,08,089
"Broomfield County, Colorado",3763,08,014
"Sussex County, Delaware",24933,10,005
"District of Columbia, District of Columbia",107140,11,001
"New Haven County, Connecticut",97553,09,009
"Hartford County, Connecticut",94192,09,003
"Shelby County, Tennessee",177675,47,157
"Henderson County, Tennessee",5183,47,077
"Jefferson County, Tennessee",6822,47,089
"Sequatchie County, Tennessee",2874,47,153
"Carroll County, Tennessee",5009,47,017
"Davidson County, Tennessee",99119,47,037
"Perry County, Tennessee",2099,47,135
"Meigs County, Tennessee",2006,47,121
"Haywood County, Tennessee",3267,47,075
"Montgomery County, Tennessee",26060,47,125
"Grundy County, Tennessee",2977,47,061
"Cocke County, Tennessee",8242,47,029
"DeKalb County, Tennessee",3564,47,041
"Lewis County, Tennessee",2295,47,101
"Obion County, Tennessee",6267,47,131
"Tipton County, Tennessee",7503,47,167
"Dyer County, Tennessee",6788,47,045
"Hamilton County, Tennessee",44952,47,065
"Polk County, Tennessee",2473,47,139
"White County, Tennessee",4280,47,185
"Sullivan County, Tennessee",24615,47,163
"Schoharie County, New York",3612,36,095
"Fulton County, New York",7814,36,035
"Rensselaer County, New York",17963,36,083
"Franklin County, New York",7981,36,033
"Queens County, New York",276447,36,081
"Washington County, New York",6578,36,115
"New York County, New York",250913,36,061
"Cayuga County, New York",8812,36,011
"Rockland County, New York",44404,36,087
"Niagara County, New York",27857,36,063
"Essex County, New York",3435,36,031
"Nassau County, New York",74291,36,059
"Schuyler County, New York",2717,36,097
"Chenango County, New York",6368,36,017
"Jefferson County, New York",14897,36,045
"Suffolk County, New York",100133,36,103
"Wyoming County, New York",3933,36,121
"Oswego County, New York",19213,36,075
"Wayne County, New York",10371,36,117
"Broome County, New York",31945,36,007
"Hinsdale County, Colorado",84,08,053
"Erie County, New York",126806,36,029
"Sullivan County, New York",10999,36,105
"Orange County, New York",43142,36,071
"Haywood County, North Carolina",8087,37,087
"Forsyth County, North Carolina",61366,37,067
"Lake County, Indiana",74629,18,089
"Montgomery County, Indiana",4198,18,107
"Adams County, Indiana",5825,18,001
"Fayette County, Indiana",4336,18,041
"Clay County, Indiana",3217,18,021
"Dubois County, Indiana",3767,18,037
"Franklin County, Indiana",2055,18,047
"Hancock County, Indiana",4941,18,059
"Howard County, Indiana",12046,18,067
"Ohio County, Indiana",412,18,115
"Parke County, Indiana",2243,18,121
"Randolph County, Indiana",3607,18,135
"Benton County, Indiana",1157,18,007
"Brown County, Indiana",1343,18,013
"Putnam County, Indiana",3620,18,133
"Washington County, Indiana",3282,18,175
"Daviess County, Indiana",3888,18,027
"Henry County, Indiana",6748,18,065
"Knox County, Indiana",5381,18,083
"Madison County, Indiana",20338,18,095
"Pike County, Indiana",1418,18,125
"Pulaski County, Indiana",1521,18,131
"Steuben County, Indiana",3061,18,151
"Laramie County, Wyoming",9532,56,021
"Teton County, Wyoming",1426,56,039
"San Jacinto County, Texas",4238,48,407
"Upshur County, Texas",6471,48,459
"Waller County, Texas",7827,48,473
"Wilson County, Texas",4652,48,493
"Hockley County, Texas",3662,48,219
"Midland County, Texas",15871,48,329
"Llano County, Texas",2211,48,299
"Fannin County, Texas",3796,48,147
"Brazos County, Texas",50496,48,041
"Gaines County, Texas",3143,48,165
"Gray County, Texas",3412,48,179
"Jack County, Texas",1255,48,237
"Bosque County, Texas",2823,48,035
"Bexar County, Texas",301755,48,029
"Baylor County, Texas",406,48,023
"Denton County, Texas",62681,48,121
"Galveston County, Texas",40485,48,167
"Roberts County, Texas",93,48,393
"Uvalde County, Texas",4737,48,463
"Bowie County, Texas",14534,48,037
"Kent County, Texas",87,48,263
"Somervell County, Texas",2017,48,425
"Hardin County, Texas",6768,48,199
"Leon County, Texas",3023,48,289
"Newton County, Texas",3357,48,351
"Reeves County, Texas",2033,48,389
"Travis County, Texas",143785,48,453
"Collingsworth County, Texas",493,48,087
"Erath County, Texas",7305,48,143
"Motley County, Texas",101,48,345
"Coleman County, Texas",1135,48,083
"Medina County, Texas",5372,48,325
"Henderson County, Texas",13599,48,213
"Lamar County, Texas",8530,48,277
"Kimble County, Texas",964,48,267
"Washington County, Texas",3959,48,477
"Stephens County, Texas",1835,48,429
"Andrews County, Texas",1647,48,003
"Gonzales County, Texas",2886,48,177
"Lynn County, Texas",1053,48,305
"Zapata County, Texas",4888,48,505
"Hood County, Texas",5615,48,221
"King County, Texas",25,48,269
"Cherokee County, Texas",8013,48,073
"Delta County, Texas",1039,48,119
"Jones County, Texas",1782,48,253
"Windham County, Connecticut",12678,09,015
"New London County, Connecticut",24040,09,011
"Middlesex County, Connecticut",10944,09,007
"Tolland County, Connecticut",9996,09,013
"Fairfield County, Connecticut",82327,09,001
"Washington County, Florida",5291,12,133
"Duval County, Florida",132346,12,031
"Bradford County, Florida",5202,12,007
"Brevard County, Florida",68456,12,009
"Clay County, Florida",21432,12,019
"Lafayette County, Florida",910,12,067
"Lake County, Florida",40961,12,069
"Nassau County, Florida",8680,12,089
"Pinellas County, Florida",116107,12,103
"Polk County, Florida",106475,12,105
"St. Lucie County, Florida",41284,12,111
"Glades County, Florida",2143,12,043
"Hendry County, Florida",10159,12,051
"Indian River County, Florida",17418,12,061
"Jackson County, Florida",7787,12,063
"St. Johns County, Florida",19779,12,109
"Seminole County, Florida",48688,12,117
"Bay County, Florida",26221,12,005
"Flagler County, Florida",13488,12,035
"Gulf County, Florida",1690,12,045
"Liberty County, Florida",1163,12,077
"Osceola County, Florida",51791,12,097
"Walton County, Florida",8772,12,131
"Gadsden County, Florida",9681,12,039
"Jefferson County, Florida",1984,12,065
"Marion County, Florida",55192,12,083
"Hardee County, Florida",6105,12,049
"Okeechobee County, Florida",7982,12,093
"Orange County, Florida",195467,12,095
"Gilchrist County, Florida",2827,12,041
"Suwannee County, Florida",6287,12,121
"Alachua County, Florida",53601,12,001
"Calhoun County, Florida",1809,12,013
"Charlotte County, Florida",19623,12,015
"Dixie County, Florida",3158,12,029
"Martin County, Florida",15367,12,085
"Sarasota County, Florida",37035,12,115
"Manatee County, Florida",44627,12,081
"Citrus County, Florida",22350,12,017
"Baker County, Florida",3017,12,003
"Santa Rosa County, Florida",16210,12,113
"Leon County, Florida",56797,12,073
"Broward County, Florida",249553,12,011
"Monroe County, Florida",8160,12,087
"Hernando County, Florida",25902,12,053
"Hillsborough County, Florida",204145,12,057
"Taylor County, Florida",3782,12,123
"Wakulla County, Florida",3533,12,129
"McDuffie County, Georgia",5075,13,189
"Morgan County, Georgia",1681,13,211
"Heard County, Georgia",1647,13,149
"Dougherty County, Georgia",24396,13,095
"Fannin County, Georgia",3109,13,111
"Houston County, Georgia",21065,13,153
"Laurens County, Georgia",12539,13,175
"Spalding County, Georgia",11476,13,255
"Telfair County, Georgia",3704,13,271
"Warren County, Indiana",948,18,171
"Vermillion County, Indiana",2280,18,165
"Wells County, Indiana",2302,18,179
"Allen County, Indiana",48580,18,003
"Decatur County, Indiana",2981,18,031
"Delaware County, Indiana",23562,18,035
"Floyd County, Indiana",7432,18,043
"Jefferson County, Indiana",4001,18,077
"Jennings County, Indiana",2987,18,079
"Johnson County, Indiana",11196,18,081
"Miami County, Indiana",5110,18,103
"Morgan County, Indiana",7225,18,109
"Gibson County, Indiana",3051,18,051
"Newton County, Indiana",1762,18,111
"Orange County, Indiana",2848,18,117
"St. Joseph County, Indiana",40012,18,141
"Kosciusko County, Indiana",7584,18,085
"Marshall County, Indiana",5918,18,099
"Switzerland County, Indiana",2005,18,155
"Vanderburgh County, Indiana",29122,18,163
"Blackford County, Indiana",1509,18,009
"Scott County, Indiana",3459,18,143
"Monroe County, Indiana",30706,18,105
"Elkhart County, Indiana",24885,18,039
"Crawford County, Indiana",1858,18,025
"Cass County, Indiana",5353,18,017
"Marion County, Indiana",165969,18,097
"Wayne County, Indiana",10395,18,177
"Butler County, Iowa",1479,19,023
"Fremont County, Iowa",714,19,071
"Hamilton County, Iowa",1452,19,079
"Taylor County, Iowa",606,19,173
"Union County, Iowa",1720,19,175
"Worth County, Iowa",627,19,195
"Ringgold County, Iowa",413,19,159
"Adair County, Iowa",754,19,001
"Chickasaw County, Iowa",793,19,037
"Clarke County, Iowa",1177,19,039
"Dickinson County, Iowa",1392,19,059
"Johnson County, Iowa",25469,19,103
"Keokuk County, Iowa",995,19,107
"Tama County, Iowa",1975,19,171
"Wapello County, Iowa",5132,19,179
"Franklin County, Iowa",1362,19,069
"Carroll County, Iowa",1707,19,027
"Cedar County, Iowa",1256,19,031
"Floyd County, Iowa",2258,19,067
"Greene County, Iowa",731,19,073
"Louisa County, Iowa",1120,19,115
"Lyon County, Iowa",538,19,119
"Union County, Georgia",3272,13,291
"Bladen County, North Carolina",8008,37,017
"Carteret County, North Carolina",7238,37,031
"Bertie County, North Carolina",4181,37,015
"Martin County, North Carolina",4463,37,117
"Perquimans County, North Carolina",2008,37,143
"Rockingham County, North Carolina",16267,37,157
"Camden County, North Carolina",969,37,029
"Gaston County, North Carolina",31210,37,071
"Moore County, North Carolina",10878,37,125
"Stanly County, North Carolina",7659,37,167
"Yancey County, North Carolina",2883,37,199
"Chatham County, North Carolina",7169,37,037
"Johnston County, North Carolina",24414,37,101
"Person County, North Carolina",6237,37,145
"Ashe County, North Carolina",4317,37,009
"Lenoir County, North Carolina",12836,37,107
"Onslow County, North Carolina",23065,37,133
"Rutherford County, North Carolina",11712,37,161
"Yadkin County, North Carolina",5731,37,197
"Burke County, North Carolina",15784,37,023
"Traill County, North Dakota",489,38,097
"Dickey County, North Dakota",247,38,021
"Ward County, North Dakota",6319,38,101
"Pembina County, North Dakota",498,38,067
"Hettinger County, North Dakota",228,38,041
"Cass County, North Dakota",18360,38,017
"Emmons County, North Dakota",322,38,029
"Richland County, North Dakota",1649,38,077
"Adams County, North Dakota",195,38,001
"Eddy County, North Dakota",240,38,027
"Mercer County, North Dakota",591,38,057
"Ransom County, North Dakota",331,38,073
"Sioux County, North Dakota",1641,38,085
"Golden Valley County, North Dakota",134,38,033
"Towner County, North Dakota",227,38,095
"Divide County, North Dakota",201,38,023
"Sargent County, North Dakota",159,38,081
"Meigs County, Ohio",4483,39,105
"Champaign County, Ohio",3845,39,021
"Greene County, Ohio",18252,39,057
"Lawrence County, Ohio",10712,39,087
"Morgan County, Ohio",2774,39,115
"Wyandot County, Ohio",1611,39,175
"Erie County, Ohio",8608,39,043
"Logan County, Ohio",5090,39,091
"Summit County, Ohio",70281,39,153
"Lemhi County, Idaho",938,16,059
"Payette County, Idaho",3062,16,075
"Benewah County, Idaho",1558,16,009
"Bonner County, Idaho",6262,16,017
"Clark County, Idaho",121,16,033
"Custer County, Idaho",760,16,037
"Elmore County, Idaho",3959,16,039
"Fremont County, Idaho",1613,16,043
"Madison County, Idaho",11937,16,065
"Shoshone County, Idaho",2398,16,079
"Idaho County, Idaho",2268,16,049
"Teton County, Idaho",512,16,081
"Power County, Idaho",871,16,077
"Washington County, Idaho",1328,16,087
"Hancock County, Illinois",2423,17,067
"Madison County, Illinois",34266,17,119
"Grundy County, Illinois",3814,17,063
"Kankakee County, Illinois",15039,17,091
"Mercer County, Illinois",1482,17,131
"DuPage County, Illinois",58397,17,043
"Alexander County, Illinois",1553,17,003
"Menard County, Illinois",1127,17,129
"LaSalle County, Illinois",14186,17,099
"Cook County, Illinois",734470,17,031
"Macon County, Illinois",17295,17,115
"Stephenson County, Illinois",6000,17,177
"Wayne County, Illinois",2164,17,191
"Woodford County, Illinois",2651,17,203
"Franklin County, Illinois",7425,17,055
"McDonough County, Illinois",5928,17,109
"McHenry County, Illinois",21281,17,111
"Greeley County, Kansas",86,20,071
"Ellis County, Kansas",4271,20,051
"Linn County, Kansas",1565,20,107
"Seward County, Kansas",3668,20,175
"Johnson County, Kansas",31422,20,091
"Miami County, Kansas",2254,20,121
"Woodson County, Kansas",604,20,207
"Ness County, Kansas",287,20,135
"Bourbon County, Kansas",2271,20,011
"Kiowa County, Kansas",155,20,097
"Shawnee County, Kansas",19811,20,177
"Chautauqua County, Kansas",605,20,019
"Reno County, Kansas",7701,20,155
"Doniphan County, Kansas",926,20,043
"Haskell County, Kansas",418,20,081
"Scott County, Kansas",292,20,171
"Brown County, Kansas",1257,20,013
"Phillips County, Kansas",511,20,147
"Decatur County, Kansas",433,20,039
"Garrard County, Kentucky",2712,21,079
"Campbell County, Kentucky",12081,21,037
"Elliott County, Kentucky",1808,21,063
"Larue County, Kentucky",2013,21,123
"Mercer County, Kentucky",3032,21,167
"Russell County, Kentucky",4054,21,207
